"","molecule","cluster"
"1","OTU_11",2
"2","OTU_44",2
"3","OTU_100",2
"4","OTU_208",3
"5","OTU_239",3
"6","OTU_245",3
"7","OTU_268",1
"8","OTU_451",3
"9","OTU_483",3
"10","OTU_880",3
"11","OTU_924",3
"12","OTU_966",3
"13","OTU_1040",3
"14","OTU_1089",3
"15","OTU_1153",1
"16","OTU_1176",1
"17","OTU_1206",2
"18","OTU_1309",4
"19","OTU_1390",2
"20","OTU_1393",2
"21","OTU_1398",2
"22","OTU_1399",2
"23","OTU_1427",2
"24","OTU_1452",1
"25","OTU_1475",1
"26","OTU_1483",4
"27","OTU_1505",2
"28","OTU_1512",4
"29","OTU_1516",4
"30","OTU_1518",4
"31","OTU_1519",4
"32","OTU_1523",2
"33","OTU_1527",2
"34","OTU_1529",4
"35","OTU_1530",2
"36","OTU_1548",4
"37","OTU_1558",4
"38","OTU_1570",4
"39","OTU_1622",4
"40","OTU_1626",2
"41","OTU_1632",4
"42","OTU_1678",4
"43","OTU_1684",1
"44","OTU_1702",4
"45","OTU_1705",2
"46","OTU_1707",4
"47","OTU_1744",4
"48","OTU_1747",2
"49","OTU_1753",4
"50","OTU_1760",2
"51","OTU_1782",4
"52","OTU_1797",4
"53","OTU_1807",4
"54","OTU_1824",2
"55","OTU_1841",2
"56","OTU_1856",4
"57","OTU_1872",4
"58","OTU_1875",1
"59","OTU_1892",4
"60","OTU_1932",4
"61","OTU_1938",4
"62","OTU_1939",2
"63","OTU_1945",4
"64","OTU_1946",4
"65","OTU_1947",1
"66","OTU_1949",2
"67","OTU_1953",1
"68","OTU_1974",2
"69","OTU_1990",2
"70","OTU_1995",4
"71","OTU_2056",2
"72","OTU_2059",1
"73","OTU_2072",4
"74","OTU_2077",2
"75","OTU_2088",4
"76","OTU_2101",1
"77","OTU_2105",4
"78","OTU_2107",2
"79","OTU_2109",1
"80","OTU_2112",2
"81","OTU_2113",2
"82","OTU_2118",2
"83","OTU_2120",1
"84","OTU_2121",2
"85","OTU_2122",2
"86","OTU_2127",1
"87","OTU_2129",4
"88","OTU_2131",4
"89","OTU_2138",1
"90","OTU_2140",4
"91","OTU_2147",1
"92","OTU_2152",4
"93","OTU_2154",1
"94","OTU_2160",1
"95","OTU_2163",2
"96","OTU_2169",2
"97","OTU_2171",2
"98","OTU_2172",2
"99","OTU_2179",2
"100","OTU_2180",4
"101","OTU_2183",4
"102","OTU_2192",4
"103","OTU_2195",2
"104","OTU_2201",2
"105","OTU_2202",4
"106","OTU_2203",2
"107","OTU_2213",4
"108","OTU_2220",2
"109","OTU_2227",2
"110","OTU_2239",2
"111","OTU_2240",4
"112","OTU_2242",1
"113","OTU_2245",4
"114","OTU_2248",4
"115","OTU_2257",2
"116","OTU_2270",4
"117","OTU_2277",4
"118","OTU_2285",4
"119","OTU_2286",1
"120","OTU_2301",2
"121","OTU_2326",4
"122","OTU_2327",4
"123","OTU_2342",4
"124","OTU_2351",4
"125","OTU_2361",2
"126","OTU_2389",2
"127","OTU_2449",2
"128","OTU_2508",2
"129","OTU_2525",2
"130","OTU_2571",3
"131","OTU_2573",1
"132","OTU_2577",1
"133","OTU_2597",4
"134","OTU_2611",2
"135","OTU_2632",4
"136","OTU_2658",2
"137","OTU_2735",1
"138","OTU_2809",4
"139","OTU_2837",2
"140","OTU_2850",2
"141","OTU_2856",2
"142","OTU_2864",2
"143","OTU_2867",2
"144","OTU_2871",2
"145","OTU_2912",4
"146","OTU_2929",4
"147","OTU_2933",4
"148","OTU_2935",2
"149","OTU_2940",2
"150","OTU_2961",2
"151","OTU_2962",4
"152","OTU_2972",2
"153","OTU_2982",2
"154","OTU_2994",4
"155","OTU_3007",4
"156","OTU_3009",4
"157","OTU_3010",2
"158","OTU_3015",1
"159","OTU_3045",2
"160","OTU_3076",4
"161","OTU_3123",2
"162","OTU_3124",1
"163","OTU_3128",2
"164","OTU_3131",2
"165","OTU_3132",2
"166","OTU_3140",1
"167","OTU_3148",4
"168","OTU_3155",1
"169","OTU_3158",2
"170","OTU_3161",2
"171","OTU_3168",4
"172","OTU_3193",2
"173","OTU_3208",4
"174","OTU_3244",2
"175","OTU_3247",2
"176","OTU_3275",1
"177","OTU_3276",2
"178","OTU_3281",2
"179","OTU_3283",2
"180","OTU_3300",2
"181","OTU_3388",4
"182","OTU_3393",2
"183","OTU_3409",2
"184","OTU_3417",2
"185","OTU_3418",1
"186","OTU_3425",4
"187","OTU_3427",2
"188","OTU_3443",2
"189","OTU_3449",4
"190","OTU_3459",2
"191","OTU_3470",1
