"","molecule","cluster"
"1","OTU_11",2
"2","OTU_44",3
"3","OTU_100",4
"4","OTU_208",1
"5","OTU_239",3
"6","OTU_245",3
"7","OTU_268",3
"8","OTU_451",1
"9","OTU_483",1
"10","OTU_880",3
"11","OTU_924",3
"12","OTU_966",2
"13","OTU_1040",3
"14","OTU_1089",2
"15","OTU_1153",1
"16","OTU_1176",3
"17","OTU_1206",1
"18","OTU_1390",1
"19","OTU_1393",3
"20","OTU_1398",4
"21","OTU_1399",1
"22","OTU_1427",3
"23","OTU_1452",2
"24","OTU_1475",3
"25","OTU_1483",3
"26","OTU_1512",3
"27","OTU_1518",3
"28","OTU_1519",3
"29","OTU_1527",3
"30","OTU_1548",3
"31","OTU_1558",3
"32","OTU_1570",4
"33","OTU_1622",4
"34","OTU_1678",3
"35","OTU_1684",1
"36","OTU_1702",3
"37","OTU_1707",3
"38","OTU_1744",3
"39","OTU_1747",3
"40","OTU_1782",3
"41","OTU_1797",3
"42","OTU_1807",3
"43","OTU_1824",3
"44","OTU_1856",3
"45","OTU_1875",4
"46","OTU_1892",3
"47","OTU_1932",3
"48","OTU_1938",3
"49","OTU_1939",3
"50","OTU_1946",4
"51","OTU_1947",2
"52","OTU_1953",3
"53","OTU_1965",4
"54","OTU_1974",4
"55","OTU_2056",4
"56","OTU_2088",3
"57","OTU_2101",3
"58","OTU_2105",4
"59","OTU_2112",4
"60","OTU_2120",3
"61","OTU_2121",3
"62","OTU_2127",4
"63","OTU_2129",4
"64","OTU_2131",4
"65","OTU_2138",3
"66","OTU_2140",3
"67","OTU_2147",3
"68","OTU_2152",3
"69","OTU_2160",3
"70","OTU_2161",4
"71","OTU_2163",4
"72","OTU_2169",2
"73","OTU_2171",3
"74","OTU_2180",2
"75","OTU_2192",3
"76","OTU_2195",4
"77","OTU_2201",2
"78","OTU_2202",2
"79","OTU_2203",4
"80","OTU_2213",3
"81","OTU_2220",4
"82","OTU_2227",4
"83","OTU_2240",3
"84","OTU_2242",3
"85","OTU_2245",3
"86","OTU_2248",2
"87","OTU_2270",3
"88","OTU_2277",4
"89","OTU_2285",2
"90","OTU_2286",4
"91","OTU_2326",3
"92","OTU_2327",3
"93","OTU_2342",4
"94","OTU_2351",4
"95","OTU_2361",3
"96","OTU_2389",3
"97","OTU_2449",3
"98","OTU_2571",4
"99","OTU_2573",3
"100","OTU_2577",3
"101","OTU_2597",3
"102","OTU_2611",4
"103","OTU_2632",3
"104","OTU_2658",3
"105","OTU_2809",4
"106","OTU_2837",4
"107","OTU_2850",3
"108","OTU_2856",4
"109","OTU_2867",2
"110","OTU_2871",2
"111","OTU_2912",3
"112","OTU_2929",4
"113","OTU_2933",3
"114","OTU_2935",3
"115","OTU_2962",4
"116","OTU_2972",4
"117","OTU_2982",4
"118","OTU_2994",1
"119","OTU_3010",3
"120","OTU_3015",3
"121","OTU_3076",3
"122","OTU_3124",4
"123","OTU_3161",3
"124","OTU_3193",2
"125","OTU_3208",3
"126","OTU_3244",4
"127","OTU_3247",3
"128","OTU_3275",3
"129","OTU_3276",3
"130","OTU_3300",4
"131","OTU_3393",3
"132","OTU_3417",3
"133","OTU_3425",3
"134","OTU_3459",3
