"","molecule","cluster"
"1","OTU_11",1
"2","OTU_44",1
"3","OTU_100",1
"4","OTU_208",2
"5","OTU_239",2
"6","OTU_245",2
"7","OTU_268",1
"8","OTU_451",2
"9","OTU_483",3
"10","OTU_880",3
"11","OTU_924",2
"12","OTU_966",4
"13","OTU_1040",4
"14","OTU_1089",2
"15","OTU_1153",1
"16","OTU_1176",1
"17","OTU_1206",1
"18","OTU_1309",1
"19","OTU_1390",1
"20","OTU_1393",1
"21","OTU_1398",1
"22","OTU_1399",1
"23","OTU_1427",1
"24","OTU_1452",1
"25","OTU_1475",1
"26","OTU_1483",1
"27","OTU_1505",1
"28","OTU_1512",1
"29","OTU_1516",1
"30","OTU_1518",1
"31","OTU_1519",1
"32","OTU_1523",1
"33","OTU_1527",1
"34","OTU_1529",1
"35","OTU_1530",1
"36","OTU_1548",1
"37","OTU_1558",1
"38","OTU_1570",1
"39","OTU_1622",1
"40","OTU_1626",1
"41","OTU_1632",1
"42","OTU_1678",1
"43","OTU_1684",1
"44","OTU_1702",1
"45","OTU_1705",1
"46","OTU_1707",1
"47","OTU_1744",1
"48","OTU_1747",1
"49","OTU_1753",1
"50","OTU_1760",1
"51","OTU_1782",1
"52","OTU_1797",1
"53","OTU_1807",1
"54","OTU_1824",1
"55","OTU_1841",1
"56","OTU_1856",1
"57","OTU_1872",1
"58","OTU_1875",1
"59","OTU_1892",1
"60","OTU_1932",1
"61","OTU_1938",1
"62","OTU_1939",1
"63","OTU_1945",1
"64","OTU_1946",1
"65","OTU_1947",1
"66","OTU_1949",1
"67","OTU_1953",1
"68","OTU_1974",1
"69","OTU_1990",1
"70","OTU_1995",1
"71","OTU_2056",1
"72","OTU_2059",1
"73","OTU_2072",1
"74","OTU_2077",1
"75","OTU_2088",1
"76","OTU_2101",1
"77","OTU_2105",1
"78","OTU_2107",1
"79","OTU_2109",1
"80","OTU_2112",1
"81","OTU_2113",1
"82","OTU_2118",1
"83","OTU_2120",1
"84","OTU_2121",1
"85","OTU_2122",1
"86","OTU_2127",1
"87","OTU_2129",1
"88","OTU_2131",1
"89","OTU_2138",1
"90","OTU_2140",1
"91","OTU_2147",1
"92","OTU_2152",1
"93","OTU_2154",1
"94","OTU_2160",1
"95","OTU_2163",1
"96","OTU_2169",1
"97","OTU_2171",1
"98","OTU_2172",1
"99","OTU_2179",1
"100","OTU_2180",1
"101","OTU_2183",1
"102","OTU_2192",1
"103","OTU_2195",1
"104","OTU_2201",1
"105","OTU_2202",1
"106","OTU_2203",1
"107","OTU_2213",1
"108","OTU_2220",1
"109","OTU_2227",1
"110","OTU_2239",1
"111","OTU_2240",1
"112","OTU_2242",1
"113","OTU_2245",1
"114","OTU_2248",1
"115","OTU_2257",1
"116","OTU_2270",1
"117","OTU_2277",1
"118","OTU_2285",1
"119","OTU_2286",1
"120","OTU_2301",1
"121","OTU_2326",1
"122","OTU_2327",1
"123","OTU_2342",1
"124","OTU_2351",1
"125","OTU_2361",1
"126","OTU_2389",1
"127","OTU_2449",1
"128","OTU_2508",1
"129","OTU_2525",1
"130","OTU_2571",2
"131","OTU_2573",1
"132","OTU_2577",1
"133","OTU_2597",1
"134","OTU_2611",1
"135","OTU_2632",1
"136","OTU_2658",1
"137","OTU_2735",1
"138","OTU_2809",1
"139","OTU_2837",1
"140","OTU_2850",1
"141","OTU_2856",1
"142","OTU_2864",1
"143","OTU_2867",1
"144","OTU_2871",1
"145","OTU_2912",1
"146","OTU_2929",1
"147","OTU_2933",1
"148","OTU_2935",1
"149","OTU_2940",1
"150","OTU_2961",1
"151","OTU_2962",1
"152","OTU_2972",1
"153","OTU_2982",1
"154","OTU_2994",1
"155","OTU_3007",1
"156","OTU_3009",1
"157","OTU_3010",1
"158","OTU_3015",1
"159","OTU_3045",1
"160","OTU_3076",1
"161","OTU_3123",1
"162","OTU_3124",1
"163","OTU_3128",1
"164","OTU_3131",1
"165","OTU_3132",1
"166","OTU_3140",1
"167","OTU_3148",1
"168","OTU_3155",1
"169","OTU_3158",1
"170","OTU_3161",1
"171","OTU_3168",1
"172","OTU_3193",1
"173","OTU_3208",1
"174","OTU_3244",1
"175","OTU_3247",1
"176","OTU_3275",1
"177","OTU_3276",1
"178","OTU_3281",1
"179","OTU_3283",1
"180","OTU_3300",1
"181","OTU_3388",1
"182","OTU_3393",1
"183","OTU_3409",1
"184","OTU_3417",1
"185","OTU_3418",1
"186","OTU_3425",1
"187","OTU_3427",1
"188","OTU_3443",1
"189","OTU_3449",1
"190","OTU_3459",1
"191","OTU_3470",1
