"","molecule","cluster"
"1","OTU_11","2"
"2","OTU_44","-2"
"3","OTU_100","2"
"4","OTU_208","-2"
"5","OTU_239","-2"
"6","OTU_245","-2"
"7","OTU_268","-2"
"8","OTU_451","2"
"9","OTU_483","-1"
"10","OTU_880","-1"
"11","OTU_924","-1"
"12","OTU_966","-1"
"13","OTU_1040","-1"
"14","OTU_1089","-2"
"15","OTU_1153","-1"
"16","OTU_1176","-2"
"17","OTU_1206","-2"
"18","OTU_1309","-2"
"19","OTU_1390","-2"
"20","OTU_1393","2"
"21","OTU_1398","-2"
"22","OTU_1399","-1"
"23","OTU_1427","2"
"24","OTU_1452","-2"
"25","OTU_1475","-2"
"26","OTU_1483","-2"
"27","OTU_1505","-2"
"28","OTU_1512","-2"
"29","OTU_1516","-2"
"30","OTU_1518","-2"
"31","OTU_1519","-2"
"32","OTU_1523","2"
"33","OTU_1527","-2"
"34","OTU_1529","-2"
"35","OTU_1530","-2"
"36","OTU_1548","-2"
"37","OTU_1558","-2"
"38","OTU_1570","-2"
"39","OTU_1622","-2"
"40","OTU_1626","-2"
"41","OTU_1632","2"
"42","OTU_1678","2"
"43","OTU_1684","-1"
"44","OTU_1702","-2"
"45","OTU_1705","-2"
"46","OTU_1707","-1"
"47","OTU_1744","-2"
"48","OTU_1747","2"
"49","OTU_1753","2"
"50","OTU_1760","-1"
"51","OTU_1782","-2"
"52","OTU_1797","-2"
"53","OTU_1807","-1"
"54","OTU_1824","-2"
"55","OTU_1841","-2"
"56","OTU_1856","-2"
"57","OTU_1872","-2"
"58","OTU_1875","2"
"59","OTU_1892","2"
"60","OTU_1932","-2"
"61","OTU_1938","-2"
"62","OTU_1939","-2"
"63","OTU_1945","-2"
"64","OTU_1946","-2"
"65","OTU_1947","-2"
"66","OTU_1949","-1"
"67","OTU_1953","-2"
"68","OTU_1974","-2"
"69","OTU_1990","-1"
"70","OTU_1995","-1"
"71","OTU_2056","-2"
"72","OTU_2059","-2"
"73","OTU_2072","2"
"74","OTU_2077","2"
"75","OTU_2088","-2"
"76","OTU_2101","2"
"77","OTU_2105","-2"
"78","OTU_2107","-2"
"79","OTU_2109","-2"
"80","OTU_2112","-2"
"81","OTU_2113","-2"
"82","OTU_2118","-2"
"83","OTU_2120","2"
"84","OTU_2121","-2"
"85","OTU_2122","-2"
"86","OTU_2127","-2"
"87","OTU_2129","-2"
"88","OTU_2131","-2"
"89","OTU_2138","-2"
"90","OTU_2140","2"
"91","OTU_2147","-2"
"92","OTU_2152","-2"
"93","OTU_2154","-2"
"94","OTU_2160","-2"
"95","OTU_2163","2"
"96","OTU_2169","2"
"97","OTU_2171","-2"
"98","OTU_2172","-1"
"99","OTU_2179","-2"
"100","OTU_2180","-1"
"101","OTU_2183","-2"
"102","OTU_2192","-1"
"103","OTU_2195","-2"
"104","OTU_2201","-2"
"105","OTU_2202","2"
"106","OTU_2203","-2"
"107","OTU_2213","-1"
"108","OTU_2220","-2"
"109","OTU_2227","2"
"110","OTU_2239","-2"
"111","OTU_2240","-2"
"112","OTU_2242","-2"
"113","OTU_2245","-2"
"114","OTU_2248","-2"
"115","OTU_2257","2"
"116","OTU_2270","-2"
"117","OTU_2277","-2"
"118","OTU_2285","-2"
"119","OTU_2286","-2"
"120","OTU_2301","-2"
"121","OTU_2326","-2"
"122","OTU_2327","-2"
"123","OTU_2342","-2"
"124","OTU_2351","-2"
"125","OTU_2361","-2"
"126","OTU_2389","-2"
"127","OTU_2449","-2"
"128","OTU_2508","-2"
"129","OTU_2525","-2"
"130","OTU_2571","-2"
"131","OTU_2573","-2"
"132","OTU_2577","-2"
"133","OTU_2597","-2"
"134","OTU_2611","-2"
"135","OTU_2632","-2"
"136","OTU_2658","2"
"137","OTU_2735","2"
"138","OTU_2809","2"
"139","OTU_2837","2"
"140","OTU_2850","-2"
"141","OTU_2856","-2"
"142","OTU_2864","2"
"143","OTU_2867","2"
"144","OTU_2871","2"
"145","OTU_2912","-2"
"146","OTU_2929","-2"
"147","OTU_2933","-2"
"148","OTU_2935","-2"
"149","OTU_2940","-2"
"150","OTU_2961","-2"
"151","OTU_2962","-2"
"152","OTU_2972","-2"
"153","OTU_2982","2"
"154","OTU_2994","2"
"155","OTU_3007","-2"
"156","OTU_3009","2"
"157","OTU_3010","2"
"158","OTU_3015","-2"
"159","OTU_3045","-2"
"160","OTU_3076","-2"
"161","OTU_3123","-2"
"162","OTU_3124","-2"
"163","OTU_3128","-2"
"164","OTU_3131","-2"
"165","OTU_3132","-2"
"166","OTU_3140","-2"
"167","OTU_3148","-2"
"168","OTU_3155","-2"
"169","OTU_3158","-2"
"170","OTU_3161","-1"
"171","OTU_3168","2"
"172","OTU_3193","-2"
"173","OTU_3208","-2"
"174","OTU_3244","2"
"175","OTU_3247","-2"
"176","OTU_3275","-2"
"177","OTU_3276","-2"
"178","OTU_3281","-2"
"179","OTU_3283","2"
"180","OTU_3300","-1"
"181","OTU_3388","-2"
"182","OTU_3393","-2"
"183","OTU_3409","-2"
"184","OTU_3417","-2"
"185","OTU_3418","-2"
"186","OTU_3425","-2"
"187","OTU_3427","2"
"188","OTU_3443","-2"
"189","OTU_3449","-2"
"190","OTU_3459","-2"
"191","OTU_3470","-2"
