"","molecule","cluster"
"1","OTU_11","-1"
"2","OTU_44","2"
"3","OTU_100","2"
"4","OTU_208","-1"
"5","OTU_239","2"
"6","OTU_245","2"
"7","OTU_268","2"
"8","OTU_451","-1"
"9","OTU_483","-1"
"10","OTU_880","2"
"11","OTU_924","2"
"12","OTU_966","-1"
"13","OTU_1040","-1"
"14","OTU_1089","-1"
"15","OTU_1153","-1"
"16","OTU_1176","2"
"17","OTU_1206","2"
"18","OTU_1390","-1"
"19","OTU_1393","2"
"20","OTU_1398","-1"
"21","OTU_1399","-1"
"22","OTU_1427","-2"
"23","OTU_1452","-1"
"24","OTU_1475","2"
"25","OTU_1483","2"
"26","OTU_1512","2"
"27","OTU_1518","2"
"28","OTU_1519","2"
"29","OTU_1527","2"
"30","OTU_1548","-1"
"31","OTU_1558","-2"
"32","OTU_1570","-1"
"33","OTU_1622","-1"
"34","OTU_1678","2"
"35","OTU_1684","-1"
"36","OTU_1702","2"
"37","OTU_1707","2"
"38","OTU_1744","2"
"39","OTU_1747","-1"
"40","OTU_1782","-2"
"41","OTU_1797","-1"
"42","OTU_1807","-2"
"43","OTU_1824","-1"
"44","OTU_1856","-1"
"45","OTU_1875","-1"
"46","OTU_1892","-1"
"47","OTU_1932","-2"
"48","OTU_1938","-2"
"49","OTU_1939","-2"
"50","OTU_1946","-1"
"51","OTU_1947","-1"
"52","OTU_1953","-2"
"53","OTU_1965","-1"
"54","OTU_1974","-1"
"55","OTU_2056","-1"
"56","OTU_2088","-2"
"57","OTU_2101","-2"
"58","OTU_2105","-1"
"59","OTU_2112","-1"
"60","OTU_2120","-2"
"61","OTU_2121","-2"
"62","OTU_2127","-1"
"63","OTU_2129","-1"
"64","OTU_2131","-1"
"65","OTU_2138","-1"
"66","OTU_2140","-2"
"67","OTU_2147","-1"
"68","OTU_2152","-1"
"69","OTU_2160","-2"
"70","OTU_2161","-2"
"71","OTU_2163","-1"
"72","OTU_2169","-1"
"73","OTU_2171","-2"
"74","OTU_2180","-1"
"75","OTU_2192","-1"
"76","OTU_2195","-1"
"77","OTU_2201","-2"
"78","OTU_2202","-2"
"79","OTU_2203","-2"
"80","OTU_2213","-1"
"81","OTU_2220","-1"
"82","OTU_2227","-1"
"83","OTU_2240","-2"
"84","OTU_2242","-1"
"85","OTU_2245","-1"
"86","OTU_2248","-1"
"87","OTU_2270","-1"
"88","OTU_2277","-1"
"89","OTU_2285","-1"
"90","OTU_2286","-1"
"91","OTU_2326","-2"
"92","OTU_2327","-2"
"93","OTU_2342","-1"
"94","OTU_2351","-1"
"95","OTU_2361","-1"
"96","OTU_2389","-2"
"97","OTU_2449","2"
"98","OTU_2571","-2"
"99","OTU_2573","-2"
"100","OTU_2577","-2"
"101","OTU_2597","-2"
"102","OTU_2611","-1"
"103","OTU_2632","2"
"104","OTU_2658","2"
"105","OTU_2809","-1"
"106","OTU_2837","-1"
"107","OTU_2850","-1"
"108","OTU_2856","-1"
"109","OTU_2867","-1"
"110","OTU_2871","-1"
"111","OTU_2912","-1"
"112","OTU_2929","-1"
"113","OTU_2933","-1"
"114","OTU_2935","-1"
"115","OTU_2962","-1"
"116","OTU_2972","-1"
"117","OTU_2982","-1"
"118","OTU_2994","-1"
"119","OTU_3010","-2"
"120","OTU_3015","-1"
"121","OTU_3076","-2"
"122","OTU_3124","-1"
"123","OTU_3161","-2"
"124","OTU_3193","2"
"125","OTU_3208","2"
"126","OTU_3244","-1"
"127","OTU_3247","2"
"128","OTU_3275","2"
"129","OTU_3276","-2"
"130","OTU_3300","2"
"131","OTU_3393","-2"
"132","OTU_3417","-1"
"133","OTU_3425","-1"
"134","OTU_3459","-2"
