"","PCA","DTW","Agglomerative","Kmedoids"
"1",0.74,0.99,0.99,0.99
"2",0.75,0.725,1,1
"3",0.745,0.645,0.995,0.995
"4",0.75,0.665,1,1
"5",0.75,0.655,1,1
"6",0.75,1,1,1
"7",0.745,0.995,0.995,0.995
"8",0.745,0.645,0.995,0.995
"9",0.75,0.63,1,1
"10",0.745,0.995,0.995,0.995
"11",0.75,1,1,1
"12",0.75,1,1,1
"13",0.745,0.745,0.995,0.995
"14",0.745,0.995,0.995,0.995
"15",0.75,1,1,1
"16",0.745,0.995,0.995,0.995
"17",0.745,0.43,0.995,0.995
"18",0.75,1,1,1
"19",0.75,0.71,1,1
"20",0.75,0.69,1,1
"21",0.75,1,1,1
"22",0.75,0.73,1,1
"23",0.745,0.995,0.995,0.995
"24",0.75,1,1,1
"25",0.75,0.725,1,1
"26",0.75,0.705,1,1
"27",0.75,1,1,1
"28",0.75,0.655,1,1
"29",0.75,1,1,1
"30",0.745,0.995,0.995,0.995
"31",0.745,0.995,0.995,0.995
"32",0.75,1,1,1
"33",0.74,0.99,0.99,0.99
"34",0.75,0.675,1,1
"35",0.75,1,1,1
"36",0.745,0.435,0.995,0.995
"37",0.75,0.7,1,1
"38",0.75,1,1,1
"39",0.745,0.995,0.995,0.995
"40",0.745,0.68,0.995,0.995
"41",0.75,0.73,1,1
"42",0.745,0.995,0.995,0.995
"43",0.75,1,1,1
"44",0.745,0.995,0.995,0.995
"45",0.75,0.74,1,1
"46",0.75,1,1,1
"47",0.745,0.68,0.995,0.995
"48",0.75,1,1,1
"49",0.75,1,1,1
"50",0.75,1,1,1
"51",0.745,0.995,0.995,0.995
"52",0.75,1,1,1
"53",0.745,0.995,0.995,0.995
"54",0.745,0.995,0.995,0.995
"55",0.75,1,1,1
"56",0.745,0.995,0.995,0.995
"57",0.75,0.64,1,1
"58",0.75,1,1,1
"59",0.75,1,1,1
"60",0.745,0.72,0.995,0.995
"61",0.75,0.695,1,1
"62",0.75,1,1,1
"63",0.745,0.995,0.995,0.995
"64",0.75,0.735,1,1
"65",0.75,0.635,1,1
"66",0.75,0.655,1,1
"67",0.745,0.65,0.995,0.995
"68",0.745,0.995,0.995,0.995
"69",0.75,0.355,1,1
"70",0.75,0.68,1,1
"71",0.745,0.995,0.995,0.995
"72",0.75,1,1,1
"73",0.75,0.355,1,1
"74",0.75,0.725,1,1
"75",0.75,1,1,1
"76",0.75,1,1,1
"77",0.75,1,1,1
"78",0.75,1,1,1
"79",0.75,1,1,1
"80",0.745,0.64,0.995,0.995
"81",0.745,0.995,0.995,0.995
"82",0.745,0.645,0.995,0.995
"83",0.75,0.705,1,1
"84",0.75,0.7,1,1
"85",0.75,1,1,1
"86",0.75,1,1,1
"87",0.75,1,1,1
"88",0.745,0.995,0.995,0.995
"89",0.75,0.68,1,1
"90",0.75,0.68,1,1
"91",0.75,0.72,1,1
"92",0.745,0.64,0.995,0.995
"93",0.745,0.425,0.995,0.995
"94",0.75,0.71,1,1
"95",0.745,0.995,0.995,0.995
"96",0.745,0.68,0.995,0.995
"97",0.75,0.63,1,1
"98",0.75,0.63,1,1
"99",0.75,1,1,1
"100",0.75,0.635,1,1
