"","PCA","DTW","Agglomerative","Kmedoids"
"1",0.99,0.97,0.655,0.99
"2",0.995,0.97,0.81,0.985
"3",0.96,0.65,0.9,0.99
"4",0.98,0.64,0.97,0.99
"5",0.99,0.66,0.805,0.99
"6",0.985,0.34,0.805,0.985
"7",0.975,0.97,0.81,0.99
"8",0.995,0.655,0.81,0.99
"9",0.98,0.975,0.81,0.99
"10",0.835,0.655,0.81,0.995
"11",0.985,0.975,0.81,0.99
"12",0.99,0.97,0.655,0.99
"13",0.985,0.625,0.805,0.99
"14",0.995,0.655,0.805,0.99
"15",0.935,0.97,0.97,0.99
"16",0.95,0.97,0.81,0.99
"17",0.975,0.66,0.805,0.985
"18",0.96,0.97,0.805,0.99
"19",0.995,0.65,0.81,0.99
"20",0.905,0.715,0.805,0.99
"21",0.99,0.97,0.81,0.99
"22",0.99,0.635,0.97,0.99
"23",0.985,0.645,0.81,0.995
"24",1,0.97,0.915,0.98
"25",0.97,0.97,0.81,0.99
"26",0.995,0.645,0.81,0.99
"27",0.91,0.97,0.655,0.985
"28",1,0.64,0.81,0.99
"29",0.97,0.66,0.97,0.99
"30",0.965,0.975,0.81,0.99
"31",0.965,0.975,0.805,0.99
"32",0.99,0.97,0.97,0.985
"33",0.99,0.64,0.74,0.99
"34",0.99,0.66,0.81,0.99
"35",0.975,0.965,0.915,0.99
"36",0.985,0.65,0.81,0.99
"37",0.985,0.965,0.81,0.99
"38",0.995,0.66,0.81,0.99
"39",0.985,0.68,0.74,0.99
"40",0.99,0.97,0.895,0.99
"41",0.985,0.65,0.75,0.985
"42",0.995,0.375,0.655,0.99
"43",0.95,0.97,0.81,0.99
"44",0.9,0.465,0.91,0.985
"45",1,0.655,0.81,0.99
"46",0.995,0.975,0.895,0.99
"47",0.985,0.65,0.81,0.99
"48",0.965,0.975,0.81,0.99
"49",0.925,0.97,0.97,0.99
"50",1,0.66,0.81,0.99
"51",0.97,0.645,0.81,0.99
"52",0.95,0.965,0.81,0.99
"53",0.99,0.34,0.805,0.99
"54",0.98,0.65,0.97,0.99
"55",0.975,0.655,0.805,0.995
"56",0.975,0.66,0.81,0.99
"57",0.955,0.81,0.655,0.99
"58",0.97,0.66,0.895,0.99
"59",0.985,0.64,0.97,0.985
"60",0.945,0.715,0.81,0.99
"61",0.92,0.635,0.81,0.99
"62",0.985,0.63,0.81,0.99
"63",0.995,0.65,0.655,0.995
"64",0.955,0.97,0.655,0.99
"65",0.985,0.97,0.58,0.99
"66",0.985,0.63,0.65,0.99
"67",0.93,0.655,0.805,0.99
"68",0.985,0.65,0.655,0.985
"69",0.99,0.645,0.62,0.99
"70",0.985,0.65,0.97,0.99
"71",0.985,0.965,0.97,0.99
"72",0.94,0.975,0.9,0.995
"73",1,0.655,0.81,0.99
"74",0.985,0.97,0.81,0.99
"75",0.965,0.71,0.81,0.98
"76",0.995,0.34,0.805,0.99
"77",0.96,0.97,0.97,0.99
"78",0.995,0.63,0.81,0.99
"79",0.985,0.965,0.805,0.985
"80",0.97,0.97,0.81,0.99
"81",0.97,0.71,0.765,0.99
"82",0.975,0.635,0.58,0.99
"83",1,0.655,0.805,0.99
"84",0.98,0.97,0.97,0.985
"85",0.985,0.655,0.97,0.99
"86",0.975,0.655,0.81,0.99
"87",1,0.65,0.97,0.99
"88",0.995,0.66,0.645,0.99
"89",0.975,0.65,0.805,0.99
"90",0.995,0.97,0.805,0.99
"91",0.98,0.65,0.81,0.99
"92",0.99,0.97,0.81,0.99
"93",0.955,0.97,0.755,0.99
"94",0.96,0.72,0.81,0.99
"95",0.99,0.65,0.58,0.99
"96",0.985,0.975,0.81,0.99
"97",0.985,0.65,0.74,0.99
"98",0.995,0.635,0.805,0.99
"99",0.985,0.975,0.81,0.99
"100",0.995,0.665,0.81,0.99
