"","PCA","DTW","Agglomerative","Kmedoids"
"1",0.57,0.705,0.34,0.9
"2",0.57,0.805,0.575,0.89
"3",0.565,0.81,0.565,0.83
"4",0.56,0.735,0.575,0.865
"5",0.565,0.885,0.595,0.895
"6",0.57,0.835,0.59,0.895
"7",0.565,0.435,0.605,0.89
"8",0.555,0.87,0.575,0.895
"9",0.57,0.585,0.615,0.885
"10",0.575,0.815,0.52,0.9
"11",0.58,0.81,0.555,0.875
"12",0.57,0.605,0.35,0.875
"13",0.59,0.73,0.345,0.885
"14",0.56,0.81,0.565,0.84
"15",0.58,0.92,0.65,0.935
"16",0.58,0.835,0.355,0.875
"17",0.57,0.515,0.32,0.84
"18",0.575,0.88,0.605,0.885
"19",0.585,0.87,0.53,0.895
"20",0.585,0.81,0.36,0.875
"21",0.56,0.53,0.835,0.875
"22",0.57,0.79,0.55,0.875
"23",0.565,0.695,0.355,0.895
"24",0.56,0.755,0.54,0.89
"25",0.6,0.885,0.38,0.9
"26",0.58,0.605,0.585,0.895
"27",0.56,0.635,0.59,0.885
"28",0.57,0.805,0.335,0.89
"29",0.57,0.63,0.615,0.925
"30",0.595,0.825,0.595,0.885
"31",0.59,0.625,0.365,0.92
"32",0.575,0.8,0.59,0.91
"33",0.58,0.84,0.58,0.905
"34",0.585,0.555,0.545,0.89
"35",0.585,0.74,0.55,0.89
"36",0.57,0.65,0.59,0.885
"37",0.565,0.67,0.345,0.825
"38",0.575,0.865,0.56,0.88
"39",0.575,0.71,0.615,0.895
"40",0.58,0.655,0.565,0.865
"41",0.56,0.805,0.605,0.825
"42",0.57,0.805,0.445,0.895
"43",0.575,0.805,0.58,0.89
"44",0.59,0.68,0.655,0.93
"45",0.585,0.625,0.6,0.915
"46",0.575,0.81,0.35,0.81
"47",0.57,0.58,0.615,0.855
"48",0.565,0.86,0.345,0.89
"49",0.565,0.88,0.61,0.89
"50",0.58,0.81,0.37,0.895
"51",0.575,0.715,0.555,0.905
"52",0.575,0.695,0.53,0.885
"53",0.585,0.86,0.575,0.895
"54",0.565,0.87,0.36,0.89
"55",0.565,0.645,0.585,0.875
"56",0.54,0.835,0.35,0.855
"57",0.57,0.805,0.555,0.89
"58",0.565,0.61,0.58,0.82
"59",0.565,0.81,0.6,0.82
"60",0.6,0.66,0.64,0.885
"61",0.56,0.54,0.55,0.87
"62",0.585,0.595,0.575,0.905
"63",0.58,0.86,0.365,0.875
"64",0.555,0.735,0.81,0.845
"65",0.565,0.805,0.325,0.875
"66",0.565,0.845,0.6,0.87
"67",0.585,0.87,0.61,0.925
"68",0.59,0.72,0.575,0.885
"69",0.57,0.78,0.565,0.825
"70",0.59,0.635,0.585,0.87
"71",0.555,0.865,0.585,0.89
"72",0.58,0.72,0.555,0.89
"73",0.585,0.65,0.605,0.9
"74",0.56,0.61,0.595,0.91
"75",0.57,0.84,0.56,0.86
"76",0.585,0.59,0.605,0.83
"77",0.565,0.865,0.39,0.875
"78",0.59,0.67,0.61,0.89
"79",0.57,0.805,0.36,0.845
"80",0.565,0.69,0.345,0.89
"81",0.575,0.81,0.57,0.83
"82",0.57,0.805,0.555,0.9
"83",0.57,0.86,0.545,0.87
"84",0.575,0.73,0.565,0.865
"85",0.585,0.57,0.625,0.915
"86",0.57,0.875,0.59,0.885
"87",0.58,0.615,0.58,0.88
"88",0.57,0.875,0.33,0.895
"89",0.585,0.87,0.84,0.895
"90",0.575,0.75,0.33,0.89
"91",0.605,0.86,0.87,0.885
"92",0.565,0.76,0.595,0.89
"93",0.57,0.785,0.59,0.91
"94",0.57,0.865,0.63,0.88
"95",0.57,0.86,0.58,0.865
"96",0.58,0.87,0.345,0.895
"97",0.59,0.645,0.625,0.88
"98",0.58,0.875,0.615,0.895
"99",0.575,0.865,0.605,0.875
"100",0.565,0.76,0.585,0.87
