"","PCA","DTW","Agglomerative","Kmedoids"
"1",0.715,0.965,0.965,0.965
"2",0.705,0.955,0.955,0.955
"3",0.71,0.67,0.96,0.96
"4",0.72,0.655,0.97,0.97
"5",0.71,0.96,0.96,0.96
"6",0.72,0.97,0.97,0.97
"7",0.72,0.97,0.97,0.97
"8",0.715,0.64,0.965,0.965
"9",0.725,0.975,0.98,0.98
"10",0.72,0.97,0.97,0.97
"11",0.71,0.96,0.96,0.96
"12",0.7,0.72,0.95,0.95
"13",0.715,0.965,0.965,0.965
"14",0.725,0.975,0.975,0.975
"15",0.7,0.95,0.95,0.95
"16",0.725,0.645,0.975,0.975
"17",0.72,0.66,0.97,0.97
"18",0.72,0.97,0.97,0.97
"19",0.73,0.98,0.98,0.98
"20",0.715,0.965,0.965,0.965
"21",0.715,0.965,0.965,0.965
"22",0.72,0.69,0.97,0.97
"23",0.705,0.795,0.955,0.955
"24",0.71,0.67,0.96,0.96
"25",0.71,0.615,0.96,0.96
"26",0.73,0.98,0.98,0.98
"27",0.705,0.955,0.955,0.955
"28",0.7,0.78,0.95,0.95
"29",0.705,0.955,0.955,0.955
"30",0.73,0.65,0.98,0.98
"31",0.695,0.945,0.945,0.945
"32",0.72,0.43,0.97,0.97
"33",0.725,0.975,0.975,0.975
"34",0.72,0.735,0.97,0.97
"35",0.72,0.675,0.97,0.97
"36",0.71,0.96,0.96,0.96
"37",0.7,0.95,0.95,0.95
"38",0.705,0.705,0.955,0.955
"39",0.71,0.96,0.96,0.96
"40",0.725,0.68,0.975,0.975
"41",0.72,0.97,0.97,0.97
"42",0.715,0.75,0.965,0.965
"43",0.72,0.645,0.97,0.97
"44",0.715,0.73,0.965,0.965
"45",0.74,0.68,0.99,0.99
"46",0.71,0.96,0.96,0.96
"47",0.695,0.7,0.945,0.945
"48",0.71,0.7,0.96,0.96
"49",0.72,0.97,0.97,0.97
"50",0.715,0.695,0.965,0.965
"51",0.715,0.965,0.965,0.965
"52",0.675,0.925,0.925,0.925
"53",0.73,0.64,0.98,0.98
"54",0.715,0.965,0.965,0.965
"55",0.695,0.945,0.945,0.945
"56",0.715,0.965,0.965,0.965
"57",0.715,0.965,0.965,0.965
"58",0.71,0.71,0.96,0.96
"59",0.72,0.97,0.97,0.97
"60",0.715,0.965,0.965,0.965
"61",0.73,0.97,0.975,0.975
"62",0.715,0.965,0.965,0.965
"63",0.7,0.745,0.95,0.95
"64",0.725,0.975,0.975,0.975
"65",0.71,0.77,0.96,0.96
"66",0.725,0.4,0.975,0.975
"67",0.715,0.965,0.965,0.965
"68",0.705,0.695,0.955,0.955
"69",0.715,0.965,0.965,0.965
"70",0.715,0.965,0.965,0.965
"71",0.735,0.985,0.985,0.985
"72",0.72,0.72,0.97,0.97
"73",0.705,0.955,0.955,0.955
"74",0.695,0.945,0.945,0.945
"75",0.7,0.7,0.95,0.95
"76",0.71,0.67,0.96,0.96
"77",0.705,0.955,0.955,0.955
"78",0.715,0.685,0.965,0.965
"79",0.715,0.965,0.965,0.965
"80",0.72,0.72,0.97,0.97
"81",0.705,0.75,0.955,0.955
"82",0.7,0.735,0.95,0.95
"83",0.725,0.715,0.975,0.975
"84",0.705,0.785,0.955,0.955
"85",0.725,0.975,0.975,0.975
"86",0.7,0.95,0.95,0.95
"87",0.725,0.7,0.975,0.975
"88",0.715,0.785,0.965,0.965
"89",0.715,0.965,0.965,0.965
"90",0.69,0.94,0.94,0.94
"91",0.72,0.97,0.97,0.97
"92",0.725,0.975,0.725,0.975
"93",0.705,0.705,0.955,0.955
"94",0.725,0.65,0.975,0.975
"95",0.72,0.67,0.97,0.97
"96",0.72,0.665,0.985,0.97
"97",0.72,0.67,0.97,0.97
"98",0.71,0.71,0.96,0.96
"99",0.73,0.98,0.98,0.98
"100",0.735,0.71,0.985,0.985
