"","PCA","DTW","Agglomerative","Kmedoids"
"1",0.76,0.725,0.84,0.97
"2",0.75,0.645,0.83,0.97
"3",0.73,0.945,0.96,0.97
"4",0.745,0.645,0.74,0.97
"5",0.745,0.94,0.805,0.965
"6",0.79,0.525,0.67,0.96
"7",0.67,0.645,0.815,0.975
"8",0.745,0.69,0.965,0.97
"9",0.75,0.66,0.59,0.965
"10",0.745,0.62,0.765,0.965
"11",0.745,0.875,0.975,0.965
"12",0.75,0.965,0.82,0.97
"13",0.755,0.885,0.97,0.97
"14",0.735,0.945,0.76,0.97
"15",0.75,0.665,0.58,0.975
"16",0.745,0.92,0.805,0.97
"17",0.75,0.665,0.71,0.97
"18",0.745,0.635,0.87,0.97
"19",0.765,0.685,0.735,0.965
"20",0.74,0.41,0.815,0.96
"21",0.735,0.37,0.895,0.965
"22",0.74,0.725,0.715,0.97
"23",0.745,0.95,0.495,0.965
"24",0.755,0.685,0.835,0.97
"25",0.755,0.95,0.87,0.96
"26",0.745,0.95,0.965,0.955
"27",0.74,0.935,0.8,0.97
"28",0.655,0.945,0.53,0.97
"29",0.745,0.925,0.93,0.975
"30",0.815,0.7,0.715,0.965
"31",0.74,0.84,0.875,0.97
"32",0.745,0.845,0.725,0.97
"33",0.75,0.645,0.845,0.97
"34",0.75,0.955,0.84,0.97
"35",0.74,0.645,0.65,0.97
"36",0.73,0.96,0.81,0.97
"37",0.745,0.68,0.61,0.97
"38",0.745,0.635,0.71,0.96
"39",0.75,0.65,0.97,0.97
"40",0.74,0.925,0.8,0.965
"41",0.75,0.65,0.975,0.97
"42",0.745,0.7,0.83,0.965
"43",0.765,0.945,0.795,0.97
"44",0.75,0.94,0.965,0.98
"45",0.8,0.96,0.8,0.985
"46",0.74,0.645,0.93,0.97
"47",0.745,0.745,0.79,0.97
"48",0.745,0.725,0.86,0.965
"49",0.735,0.95,0.775,0.97
"50",0.73,0.945,0.65,0.97
"51",0.75,0.955,0.81,0.97
"52",0.73,0.93,0.725,0.97
"53",0.745,0.395,0.665,0.975
"54",0.74,0.805,0.97,0.97
"55",0.74,0.925,0.97,0.97
"56",0.745,0.95,0.49,0.975
"57",0.745,0.61,0.815,0.98
"58",0.735,0.74,0.71,0.965
"59",0.79,0.935,0.795,0.965
"60",0.78,0.93,0.875,0.965
"61",0.745,0.615,0.825,0.97
"62",0.75,0.665,0.675,0.965
"63",0.74,0.95,0.8,0.96
"64",0.72,0.645,0.71,0.97
"65",0.75,0.63,0.75,0.96
"66",0.75,0.955,0.97,0.97
"67",0.745,0.63,0.79,0.975
"68",0.74,0.89,0.57,0.965
"69",0.75,0.655,0.98,0.97
"70",0.745,0.945,0.945,0.97
"71",0.745,0.955,0.95,0.97
"72",0.745,0.65,0.8,0.97
"73",0.745,0.395,0.805,0.97
"74",0.75,0.68,0.97,0.97
"75",0.75,0.93,0.88,0.97
"76",0.75,0.645,0.815,0.97
"77",0.745,0.95,0.795,0.97
"78",0.745,0.665,0.99,0.99
"79",0.74,0.655,0.64,0.97
"80",0.74,0.935,0.8,0.965
"81",0.745,0.95,0.66,0.97
"82",0.735,0.955,0.62,0.97
"83",0.745,0.955,0.665,0.97
"84",0.745,0.96,0.81,0.98
"85",0.745,0.66,0.825,0.985
"86",0.745,0.945,0.9,0.97
"87",0.745,0.935,0.8,0.965
"88",0.75,0.935,0.96,0.96
"89",0.755,0.96,0.97,0.97
"90",0.74,0.655,0.785,0.965
"91",0.75,0.9,0.535,0.96
"92",0.745,0.64,0.78,0.965
"93",0.775,0.525,0.49,0.965
"94",0.78,0.645,0.795,0.97
"95",0.75,0.685,0.985,0.965
"96",0.74,0.95,0.735,0.97
"97",0.745,0.635,0.955,0.965
"98",0.745,0.74,0.81,0.965
"99",0.75,0.63,0.805,0.965
"100",0.665,0.65,0.82,0.965
