"","PCA","DTW","Agglomerative","Kmedoids"
"1",0.6,0.945,0.67,0.97
"2",0.59,0.94,0.63,0.975
"3",0.6,0.64,0.38,0.975
"4",0.59,0.975,0.675,0.98
"5",0.59,0.945,0.625,0.98
"6",0.585,0.76,0.63,0.975
"7",0.59,0.64,0.925,0.965
"8",0.59,0.685,0.925,0.965
"9",0.585,0.745,0.675,0.975
"10",0.59,0.695,0.925,0.96
"11",0.595,0.94,0.63,0.965
"12",0.6,0.65,0.675,0.975
"13",0.585,0.71,0.67,0.97
"14",0.585,0.705,0.925,0.965
"15",0.59,0.77,0.925,0.98
"16",0.595,0.945,0.66,0.965
"17",0.59,0.935,0.625,0.965
"18",0.585,0.675,0.925,0.97
"19",0.59,0.69,0.655,0.98
"20",0.59,0.725,0.625,0.975
"21",0.58,0.945,0.675,0.965
"22",0.595,0.925,0.925,0.98
"23",0.6,0.675,0.42,0.975
"24",0.59,0.715,0.63,0.98
"25",0.59,0.7,0.63,0.98
"26",0.595,0.64,0.63,0.97
"27",0.585,0.69,0.675,0.98
"28",0.59,0.94,0.925,0.97
"29",0.59,0.685,0.925,0.98
"30",0.585,0.645,0.67,0.97
"31",0.605,0.645,0.64,0.98
"32",0.585,0.725,0.925,0.975
"33",0.6,0.94,0.42,0.98
"34",0.6,0.945,0.625,0.98
"35",0.585,0.94,0.925,0.965
"36",0.6,0.695,0.625,0.965
"37",0.59,0.94,0.93,0.975
"38",0.59,0.7,0.65,0.975
"39",0.595,0.675,0.9,0.975
"40",0.59,0.945,0.625,0.97
"41",0.59,0.95,0.625,0.97
"42",0.585,0.95,0.925,0.965
"43",0.59,0.645,0.63,0.985
"44",0.58,0.655,0.925,0.965
"45",0.585,0.715,0.635,0.975
"46",0.585,0.945,0.625,0.975
"47",0.585,0.945,0.63,0.965
"48",0.585,0.69,0.65,0.98
"49",0.59,0.95,0.9,0.97
"50",0.6,0.645,0.65,0.975
"51",0.585,0.94,0.625,0.97
"52",0.59,0.94,0.925,0.975
"53",0.585,0.645,0.925,0.965
"54",0.59,0.945,0.925,0.97
"55",0.585,0.69,0.675,0.975
"56",0.585,0.725,0.65,0.97
"57",0.585,0.705,0.63,0.975
"58",0.59,0.7,0.625,0.97
"59",0.585,0.94,0.925,0.975
"60",0.58,0.935,0.925,0.965
"61",0.59,0.94,0.67,0.975
"62",0.59,0.94,0.925,0.98
"63",0.59,0.945,0.63,0.97
"64",0.58,0.685,0.63,0.975
"65",0.595,0.59,0.665,0.965
"66",0.59,0.955,0.66,0.975
"67",0.58,0.945,0.925,0.97
"68",0.6,0.71,0.625,0.98
"69",0.59,0.725,0.625,0.97
"70",0.59,0.665,0.625,0.97
"71",0.585,0.945,0.67,0.965
"72",0.58,0.685,0.63,0.98
"73",0.59,0.635,0.63,0.965
"74",0.59,0.735,0.685,0.97
"75",0.595,0.95,0.925,0.98
"76",0.585,0.935,0.675,0.97
"77",0.59,0.95,0.925,0.98
"78",0.59,0.93,0.645,0.965
"79",0.585,0.945,0.925,0.98
"80",0.59,0.635,0.65,0.965
"81",0.6,0.705,0.375,0.98
"82",0.605,0.65,0.67,0.975
"83",0.595,0.945,0.925,0.98
"84",0.59,0.715,0.92,0.98
"85",0.595,0.945,0.67,0.98
"86",0.59,0.72,0.63,0.975
"87",0.585,0.64,0.93,0.975
"88",0.595,0.71,0.415,0.98
"89",0.59,0.705,0.645,0.98
"90",0.595,0.94,0.675,0.97
"91",0.595,0.64,0.645,0.98
"92",0.59,0.935,0.92,0.975
"93",0.59,0.65,0.63,0.965
"94",0.585,0.745,0.63,0.98
"95",0.58,0.94,0.925,0.97
"96",0.58,0.93,0.625,0.975
"97",0.59,0.95,0.675,0.98
"98",0.59,0.73,0.925,0.98
"99",0.59,0.95,0.625,0.97
"100",0.59,0.945,0.925,0.975
