"","PCA","DTW","Agglomerative","Kmedoids"
"1",0.605,0.7,0.65,0.97
"2",0.59,0.905,0.6,0.945
"3",0.605,0.925,0.665,0.95
"4",0.595,0.645,0.66,0.98
"5",0.615,0.7,0.59,0.98
"6",0.6,0.93,0.66,0.975
"7",0.585,0.91,0.63,0.965
"8",0.6,0.915,0.395,0.955
"9",0.595,0.665,0.63,0.96
"10",0.6,0.7,0.39,0.96
"11",0.585,0.67,0.66,0.96
"12",0.595,0.665,0.655,0.95
"13",0.6,0.615,0.66,0.95
"14",0.58,0.915,0.615,0.965
"15",0.59,0.69,0.615,0.94
"16",0.595,0.625,0.67,0.96
"17",0.575,0.935,0.39,0.975
"18",0.6,0.64,0.67,0.95
"19",0.585,0.925,0.635,0.965
"20",0.585,0.905,0.66,0.95
"21",0.595,0.925,0.585,0.965
"22",0.6,0.91,0.645,0.955
"23",0.61,0.9,0.64,0.94
"24",0.595,0.91,0.605,0.95
"25",0.615,0.9,0.65,0.95
"26",0.605,0.625,0.66,0.955
"27",0.575,0.915,0.37,0.95
"28",0.595,0.64,0.645,0.945
"29",0.595,0.905,0.65,0.95
"30",0.58,0.62,0.625,0.965
"31",0.6,0.9,0.65,0.945
"32",0.575,0.6,0.61,0.965
"33",0.6,0.91,0.625,0.955
"34",0.605,0.635,0.66,0.97
"35",0.595,0.73,0.63,0.97
"36",0.59,0.74,0.365,0.96
"37",0.6,0.645,0.645,0.94
"38",0.59,0.935,0.385,0.955
"39",0.605,0.905,0.385,0.96
"40",0.6,0.92,0.415,0.965
"41",0.59,0.73,0.655,0.95
"42",0.585,0.685,0.61,0.945
"43",0.59,0.715,0.66,0.96
"44",0.605,0.64,0.39,0.955
"45",0.605,0.93,0.625,0.965
"46",0.59,0.62,0.65,0.95
"47",0.585,0.74,0.62,0.93
"48",0.6,0.745,0.615,0.925
"49",0.59,0.72,0.67,0.96
"50",0.61,0.905,0.645,0.95
"51",0.59,0.95,0.395,0.955
"52",0.6,0.905,0.625,0.925
"53",0.61,0.925,0.645,0.965
"54",0.6,0.925,0.36,0.955
"55",0.585,0.895,0.655,0.94
"56",0.595,0.67,0.62,0.955
"57",0.6,0.92,0.83,0.95
"58",0.61,0.945,0.62,0.96
"59",0.6,0.92,0.64,0.955
"60",0.575,0.695,0.65,0.95
"61",0.59,0.94,0.365,0.97
"62",0.6,0.725,0.64,0.955
"63",0.595,0.71,0.66,0.965
"64",0.595,0.93,0.395,0.96
"65",0.6,0.63,0.605,0.945
"66",0.58,0.935,0.39,0.955
"67",0.585,0.68,0.585,0.96
"68",0.595,0.64,0.38,0.945
"69",0.585,0.69,0.65,0.965
"70",0.615,0.745,0.66,0.96
"71",0.58,0.93,0.66,0.95
"72",0.595,0.925,0.65,0.965
"73",0.61,0.73,0.36,0.95
"74",0.59,0.73,0.545,0.93
"75",0.595,0.95,0.7,0.96
"76",0.59,0.69,0.36,0.95
"77",0.595,0.915,0.4,0.96
"78",0.605,0.92,0.695,0.955
"79",0.595,0.94,0.61,0.955
"80",0.565,0.665,0.645,0.95
"81",0.595,0.93,0.635,0.95
"82",0.62,0.945,0.63,0.955
"83",0.595,0.93,0.38,0.945
"84",0.605,0.915,0.65,0.955
"85",0.61,0.625,0.655,0.955
"86",0.605,0.655,0.655,0.94
"87",0.585,0.925,0.395,0.95
"88",0.585,0.62,0.36,0.96
"89",0.59,0.915,0.385,0.945
"90",0.59,0.715,0.35,0.945
"91",0.59,0.62,0.67,0.95
"92",0.6,0.94,0.665,0.97
"93",0.6,0.93,0.385,0.955
"94",0.59,0.945,0.7,0.955
"95",0.605,0.62,0.38,0.965
"96",0.59,0.73,0.615,0.945
"97",0.585,0.62,0.385,0.96
"98",0.62,0.925,0.4,0.965
"99",0.62,0.905,0.655,0.975
"100",0.575,0.93,0.65,0.965
