"","PCA","DTW","Agglomerative","Kmedoids"
"1",0.59,0.61,0.47,0.96
"2",0.6,0.875,0.49,0.96
"3",0.6,0.635,0.53,0.955
"4",0.6,0.535,0.47,0.955
"5",0.63,0.595,0.47,0.96
"6",0.6,0.575,0.47,0.96
"7",0.605,0.885,0.53,0.96
"8",0.605,0.745,0.49,0.96
"9",0.61,0.61,0.53,0.96
"10",0.59,0.87,0.47,0.96
"11",0.615,0.705,0.47,0.96
"12",0.615,0.865,0.47,0.96
"13",0.595,0.875,0.53,0.96
"14",0.585,0.625,0.49,0.96
"15",0.59,0.89,0.49,0.96
"16",0.61,0.88,0.53,0.96
"17",0.61,0.885,0.47,0.96
"18",0.6,0.755,0.53,0.96
"19",0.61,0.68,0.47,0.96
"20",0.595,0.875,0.53,0.96
"21",0.61,0.63,0.53,0.96
"22",0.59,0.87,0.53,0.96
"23",0.605,0.78,0.47,0.96
"24",0.615,0.605,0.53,0.96
"25",0.595,0.875,0.47,0.96
"26",0.59,0.885,0.53,0.96
"27",0.615,0.87,0.54,0.96
"28",0.59,0.89,0.495,0.96
"29",0.6,0.405,0.47,0.96
"30",0.595,0.885,0.53,0.96
"31",0.595,0.87,0.53,0.96
"32",0.595,0.88,0.49,0.96
"33",0.61,0.635,0.47,0.96
"34",0.605,0.88,0.49,0.96
"35",0.61,0.505,0.53,0.96
"36",0.6,0.885,0.635,0.96
"37",0.605,0.56,0.47,0.96
"38",0.6,0.865,0.49,0.96
"39",0.6,0.88,0.49,0.96
"40",0.615,0.6,0.47,0.96
"41",0.61,0.615,0.47,0.96
"42",0.625,0.89,0.495,0.96
"43",0.6,0.56,0.475,0.96
"44",0.62,0.88,0.48,0.955
"45",0.61,0.88,0.47,0.96
"46",0.59,0.6,0.53,0.96
"47",0.6,0.87,0.59,0.96
"48",0.605,0.555,0.575,0.96
"49",0.595,0.605,0.47,0.96
"50",0.595,0.7,0.47,0.955
"51",0.605,0.77,0.47,0.96
"52",0.595,0.885,0.54,0.955
"53",0.61,0.875,0.53,0.96
"54",0.605,0.87,0.49,0.96
"55",0.59,0.88,0.47,0.96
"56",0.59,0.88,0.53,0.955
"57",0.62,0.87,0.575,0.96
"58",0.625,0.88,0.49,0.96
"59",0.61,0.885,0.51,0.96
"60",0.595,0.885,0.47,0.96
"61",0.6,0.88,0.49,0.96
"62",0.6,0.625,0.615,0.96
"63",0.615,0.86,0.49,0.96
"64",0.61,0.885,0.43,0.96
"65",0.6,0.885,0.49,0.955
"66",0.6,0.87,0.47,0.955
"67",0.6,0.88,0.47,0.96
"68",0.615,0.66,0.555,0.96
"69",0.59,0.875,0.53,0.96
"70",0.615,0.62,0.53,0.96
"71",0.62,0.7,0.63,0.96
"72",0.595,0.69,0.635,0.96
"73",0.605,0.885,0.53,0.955
"74",0.595,0.875,0.53,0.96
"75",0.585,0.62,0.49,0.96
"76",0.595,0.775,0.47,0.96
"77",0.59,0.875,0.47,0.96
"78",0.59,0.59,0.54,0.96
"79",0.595,0.625,0.49,0.96
"80",0.6,0.72,0.47,0.96
"81",0.585,0.63,0.43,0.96
"82",0.61,0.385,0.47,0.96
"83",0.61,0.595,0.47,0.96
"84",0.59,0.895,0.47,0.955
"85",0.625,0.57,0.47,0.96
"86",0.585,0.875,0.47,0.96
"87",0.61,0.62,0.47,0.955
"88",0.595,0.605,0.47,0.96
"89",0.61,0.865,0.495,0.96
"90",0.61,0.61,0.46,0.96
"91",0.6,0.88,0.47,0.955
"92",0.595,0.585,0.53,0.955
"93",0.605,0.865,0.47,0.95
"94",0.605,0.66,0.49,0.96
"95",0.59,0.88,0.53,0.96
"96",0.61,0.875,0.49,0.96
"97",0.61,0.625,0.47,0.96
"98",0.585,0.865,0.535,0.96
"99",0.59,0.67,0.535,0.96
"100",0.6,0.88,0.495,0.96
