"","OTU","p_time","p_group","p_group_time","p_time","p_group","p_group_time"
"1","OTU_11",0.978689254473168,0.974095189499269,0.226761672869578,"ns","ns","ns"
"2","OTU_44",0.990821390529306,0.00672972266670281,0.0136040679474353,"ns","s","s"
"3","OTU_100",0.988488782304862,0.00644850635712368,0.0129381081917184,"ns","s","s"
"4","OTU_208",0.887782505261577,0.0661355262606807,0.0034239467879159,"ns","ns","s"
"5","OTU_239",0.000217692188633828,0.782389373989222,0.00696418326210639,"s","ns","s"
"6","OTU_245",0.253941359110449,0.138874661955909,0.406651806462393,"ns","ns","ns"
"7","OTU_268",0.185718985909298,0.211120851978252,0.342010491534666,"ns","ns","ns"
"8","OTU_451",NA,NA,NA,NA,NA,NA
"9","OTU_483",0.874779895380121,0.639960285495343,0.0501257905839159,"ns","ns","ns"
"10","OTU_880",0.00065907715502872,2.16786225448324e-10,0.0135178501932004,"s","s","s"
"11","OTU_924",0.00867220306111964,7.22120017868029e-08,0.0595836508486017,"s","s","ns"
"12","OTU_966",0.00291583225887796,2.80916642577672e-10,0.00081199633753984,"s","s","s"
"13","OTU_1040",0.00783562769172733,1.44806480818761e-10,0.0571928130480727,"s","s","ns"
"14","OTU_1089",0.116728772961613,0.00333495143657466,0.235878756466718,"ns","s","ns"
"15","OTU_1153",0.912285166479347,0.611436907648294,0.0401602059073618,"ns","ns","s"
"16","OTU_1176",0.884511368482078,0.0969910188944553,0.969352834631882,"ns","ns","ns"
"17","OTU_1206",0.999926867176628,0.00625324518066456,0.0237146918968723,"ns","s","s"
"18","OTU_1309",0.0716301377288422,0.00162417286527973,0.199231298861606,"ns","s","ns"
"19","OTU_1390",0.999703995166963,0.407404281290742,0.74736460060157,"ns","ns","ns"
"20","OTU_1393",0.771833543340132,0.00943757565241345,0.0404368871866848,"ns","s","s"
"21","OTU_1398",0.833917370330064,0.459568566606582,0.276870683985715,"ns","ns","ns"
"22","OTU_1399",0.999755586722258,0.50947247010862,0.97270269462679,"ns","ns","ns"
"23","OTU_1427",0.173674431778586,0.0180855376578458,0.292618094524571,"ns","s","ns"
"24","OTU_1452",0.870219443934235,0.0769351264120172,0.261926978402273,"ns","ns","ns"
"25","OTU_1475",3.91055209581073e-06,0.220058681179174,0.000592792316215105,"s","ns","s"
