"","OTU","p_time","p_group","p_group_time","p_time","p_group","p_group_time"
"1","OTU_11",0.986731742551742,0.999828528579855,0.369543312583701,"ns","ns","ns"
"2","OTU_44",0.989436496355582,0.00626640296470895,0.012640453081445,"ns","s","s"
"3","OTU_100",0.98828489773113,0.00595011047719368,0.0119273824057401,"ns","s","s"
"4","OTU_208",0.885061118177935,0.130930123645424,0.00806244596970978,"ns","ns","s"
"5","OTU_239",0.000799421488708431,0.759396383658283,0.0149639323888752,"s","ns","s"
"6","OTU_245",0.245269654778919,0.135718073217597,0.398056601366166,"ns","ns","ns"
"7","OTU_268",0.24501958473554,0.226991437052231,0.404016117200201,"ns","ns","ns"
"8","OTU_451",NA,NA,NA,NA,NA,NA
"9","OTU_483",0.880538851727838,0.38376811627756,0.0837884802193681,"ns","ns","ns"
"10","OTU_880",0.000376566709770079,1.3112771305957e-10,0.00974191698716635,"s","s","s"
"11","OTU_924",0.0496893208611369,8.48001860756594e-07,0.162112231519045,"s","s","ns"
"12","OTU_966",0.00597608580791732,1.29364577990798e-09,0.00204007983454715,"s","s","s"
"13","OTU_1040",0.00366726193997347,5.48981659518351e-11,0.0370114673130188,"s","s","s"
"14","OTU_1089",0.107180338556287,0.0103525545697515,0.424485957222274,"ns","s","ns"
"15","OTU_1153",0.90585464439625,0.384756500561376,0.0755398818677089,"ns","ns","ns"
"16","OTU_1176",0.54047880603175,0.0456537599534999,0.788213367119412,"ns","s","ns"
"17","OTU_1206",0.999930771223153,0.00669508724324609,0.0245407238668114,"ns","s","s"
"18","OTU_1309",0.0701127301930351,0.000743199544665638,0.196779578003442,"ns","s","ns"
"19","OTU_1390",0.999063233846411,0.544770681616163,0.718989292026127,"ns","ns","ns"
"20","OTU_1393",0.773075375102125,0.00957957851752689,0.0406795890835153,"ns","s","s"
"21","OTU_1398",0.827841237613781,0.474704531431676,0.291710420811684,"ns","ns","ns"
"22","OTU_1399",0.99988452249619,0.56853798368508,0.944795462000368,"ns","ns","ns"
"23","OTU_1427",0.231194224392598,0.023478186151048,0.350786888601486,"ns","s","ns"
"24","OTU_1452",0.870772275702566,0.139934782026246,0.314998477611525,"ns","ns","ns"
"25","OTU_1475",1.06197119568225e-06,0.219507518926528,0.000262000800260321,"s","ns","s"
"26","OTU_1483",0.743043991976739,0.0133129671986962,0.804395849745359,"ns","s","ns"
"27","OTU_1505",0.290683828223712,0.876225927677708,0.453813966372125,"ns","ns","ns"
"28","OTU_1512",0.132486838246912,0.883964473902345,0.282087233739631,"ns","ns","ns"
"29","OTU_1516",0.553404600927217,0.0875452987549066,0.674921372957406,"ns","ns","ns"
"30","OTU_1518",0.125192178765937,0.860877519520432,0.273636599214389,"ns","ns","ns"
