"","OTU","p_time","p_group","p_group_time","p_time","p_group","p_group_time"
"1","OTU_11",0.779662285698463,0.656940723787192,0.0624656655659431,"ns","ns","ns"
"2","OTU_44",0.904009146488453,0.00215567466910495,0.00642896173657793,"ns","s","s"
"3","OTU_100",0.790683639341953,3.74762486284822e-05,2.14284702497869e-05,"ns","s","s"
"4","OTU_208",0.536323560998892,0.000453241192309274,3.30767097997386e-09,"ns","s","s"
"5","OTU_239",NA,NA,NA,NA,NA,NA
"6","OTU_245",NA,NA,NA,NA,NA,NA
"7","OTU_268",NA,NA,NA,NA,NA,NA
"8","OTU_451",0.645030960159256,0.156041252010209,7.63025065233292e-07,"ns","ns","s"
"9","OTU_483",0.698435634008199,0.0865355254578694,0.00327736739056531,"ns","ns","s"
"10","OTU_880",0.000600073610845914,0.725332292017737,0.722104489938815,"s","ns","ns"
"11","OTU_924",NA,NA,NA,NA,NA,NA
"12","OTU_966",0.676055357951982,6.57451231562964e-11,1.97078628275935e-12,"ns","s","s"
"13","OTU_1040",0.707078292619828,0.000161727334470288,0.554168393088614,"ns","s","ns"
"14","OTU_1089",0.798282004661745,0.00204566416437257,0.010195040231793,"ns","s","s"
"15","OTU_1153",0.888089625769511,0.108631835896449,0.012216300812483,"ns","ns","s"
"16","OTU_1176",0.26165726219918,0.000629786222635475,0.0027196460593496,"ns","s","s"
"17","OTU_1206",NA,NA,NA,NA,NA,NA
"18","OTU_1309",0.0159596180785853,0.999997378503818,0.999999998518653,"s","ns","ns"
"19","OTU_1390",0.776679462184054,0.138109114612952,0.000526159023639895,"ns","ns","s"
"20","OTU_1393",0.0047372424035197,0.0096859626588214,0.478150565777945,"s","s","ns"
"21","OTU_1398",0.814887216359121,0.448270992542851,0.32550388055433,"ns","ns","ns"
"22","OTU_1399",0.959481451574623,0.387105990360261,0.911556722994473,"ns","ns","ns"
"23","OTU_1427",0.73214875294548,0.474157782951092,0.524161749575477,"ns","ns","ns"
"24","OTU_1452",0.383960950989805,9.60348926516874e-05,3.52359899178848e-06,"ns","s","s"
"25","OTU_1475",NA,NA,NA,NA,NA,NA
