"","OTU","p_time","p_group","p_group_time","p_time","p_group","p_group_time"
"1","OTU_11",1,1,1,"ns","ns","ns"
"2","OTU_44",0.860553477646713,0.0305455921073711,0.0773164209587571,"ns","s","ns"
"3","OTU_100",0.794855658296938,0.0070912637511148,0.0254426078845824,"ns","s","s"
"4","OTU_208",0.971014029762579,0.0111212359964152,0.397396742405369,"ns","s","ns"
"5","OTU_239",0.00150960144978574,0.999987931227544,0.999987931227544,"s","ns","ns"
"6","OTU_245",0.83281958617385,0.999991727706756,0.999991727706756,"ns","ns","ns"
"7","OTU_268",0.769940897572336,1,1,"ns","ns","ns"
"8","OTU_451",0.979050655135578,0.0922716954265046,1.80442782377055e-05,"ns","ns","s"
"9","OTU_483",0.808783128739517,1.81320804726326e-06,3.10311198958857e-09,"ns","s","s"
"10","OTU_880",0.00772687171368847,1,1,"s","ns","ns"
"11","OTU_924",0.0498348461213576,0.99999698918534,0.99999698918534,"s","ns","ns"
"12","OTU_966",0.0898428755161796,0,0.104939195564975,"ns","s","ns"
"13","OTU_1040",0.0437027239200293,1,1,"s","ns","ns"
"14","OTU_1089",0.303042801818882,7.71414567890538e-07,0.0922333270527005,"ns","s","ns"
"15","OTU_1153",0.800258968485997,1,1,"ns","ns","ns"
"16","OTU_1176",0.954789202287292,0.117845969144806,0.747359308972976,"ns","ns","ns"
"17","OTU_1206",0.995861985081477,0.41140775000303,0.883503774647938,"ns","ns","ns"
"18","OTU_1309",0.145728471424107,1,1,"ns","ns","ns"
"19","OTU_1390",0.886400233180408,0.700242915828601,0.2139378129342,"ns","ns","ns"
"20","OTU_1393",0.406342825032439,0.0802583685721036,0.590094386778793,"ns","ns","ns"
"21","OTU_1398",0.779503692264783,0.958977750059105,0.773671545837866,"ns","ns","ns"
"22","OTU_1399",0.959243076530829,0.808919226487513,0.423836773841683,"ns","ns","ns"
"23","OTU_1427",0.594654481525132,0.999994008494077,1,"ns","ns","ns"
"24","OTU_1452",1,0.774629530375832,0.716660514955981,"ns","ns","ns"
"25","OTU_1475",0.000371185398725382,1,1,"s","ns","ns"
"26","OTU_1483",0.313046454403919,0.999997204194001,0.999997204194001,"ns","ns","ns"
"27","OTU_1505",0.83353207822595,1,1,"ns","ns","ns"
"28","OTU_1512",0.96392884360648,0.999993806543531,0.999993806543531,"ns","ns","ns"
"29","OTU_1516",0.388353423420687,1,1,"ns","ns","ns"
"30","OTU_1518",0.519837835648727,1,1,"ns","ns","ns"
"31","OTU_1519",0.441668073180309,0.999955421479513,0.999955421479513,"ns","ns","ns"
"32","OTU_1523",0.0326403181400045,1,1,"s","ns","ns"
"33","OTU_1527",0.0181936827960026,1,1,"s","ns","ns"
"34","OTU_1529",0.662971400650729,1,1,"ns","ns","ns"
"35","OTU_1530",0.0108369666328649,1,1,"s","ns","ns"
"36","OTU_1548",0.374715490909156,0.144986881123268,0.669697618658764,"ns","ns","ns"
"37","OTU_1558",0.458042479520386,0.999991933688291,1,"ns","ns","ns"
"38","OTU_1570",0.476824279415875,9.27069682453707e-05,0.000339621979355109,"ns","s","s"
"39","OTU_1622",0.00934156559939125,0.895671189694026,0.617141247579418,"s","ns","ns"
"40","OTU_1626",0.239798433256983,1,1,"ns","ns","ns"
"41","OTU_1632",0.2949790519044,1,1,"ns","ns","ns"
"42","OTU_1678",0.0269535041935937,0.358222598095358,0.690734653492624,"s","ns","ns"
"43","OTU_1684",0.923485761688879,0.708911828407673,0.843148024672109,"ns","ns","ns"
"44","OTU_1702",0.173013972165203,1,1,"ns","ns","ns"
"45","OTU_1705",0.70543728896796,1,1,"ns","ns","ns"
"46","OTU_1707",0.920154974369794,1,1,"ns","ns","ns"
"47","OTU_1744",0.316882309543034,1,1,"ns","ns","ns"
"48","OTU_1747",0.348915530318379,0.429084787515568,0.572397623767766,"ns","ns","ns"
"49","OTU_1753",0.273409112771079,1,1,"ns","ns","ns"
"50","OTU_1760",0.842330852675877,1,1,"ns","ns","ns"
"51","OTU_1782",0.238356216540161,0.361812969086333,1,"ns","ns","ns"
"52","OTU_1797",0.769533131069362,0.0921815935873367,0.260193575553382,"ns","ns","ns"
"53","OTU_1807",0.526193653520932,1,0.999959769509159,"ns","ns","ns"
"54","OTU_1824",0.0469808634990043,0.859843219394209,0.986631264218018,"s","ns","ns"
"55","OTU_1841",0.00029178845040545,1,1,"s","ns","ns"
"56","OTU_1856",0.122291844972204,0.541148114820862,0.807065900480063,"ns","ns","ns"
"57","OTU_1872",0.80986714718006,1,1,"ns","ns","ns"
"58","OTU_1875",0.830804266497132,0.174466384358596,0.262215426415716,"ns","ns","ns"
"59","OTU_1892",0.0270606897284581,0.0433370385733526,0.341186509890785,"s","s","ns"
"60","OTU_1932",0.307992036289095,1,1,"ns","ns","ns"
"61","OTU_1938",0.0662436514636896,1,1,"ns","ns","ns"
"62","OTU_1939",0.0235636112310883,0.405907774376057,0.696732365696515,"s","ns","ns"
"63","OTU_1945",0.858369134014287,1,1,"ns","ns","ns"
"64","OTU_1946",0.0547753777991048,0.0268178524136796,0.142081248710161,"ns","s","ns"
"65","OTU_1947",0.111047478018081,0.0011928895765615,0.0166733158294545,"ns","s","s"
"66","OTU_1949",0.607491046789275,1,1,"ns","ns","ns"
"67","OTU_1953",0.420483153480725,0.0222779726769644,0.070554684135547,"ns","s","ns"
"68","OTU_1965",1,0.999998143424355,0.999996972704022,"ns","ns","ns"
"69","OTU_1974",0.0521703202348557,0.00250148428122399,0.000331389956758299,"ns","s","s"
"70","OTU_1990",0.808122461728086,1,1,"ns","ns","ns"
"71","OTU_1995",0.876356322679007,1,1,"ns","ns","ns"
"72","OTU_2056",0.251081823090508,0.925442774400931,0.754142227813825,"ns","ns","ns"
"73","OTU_2059",0.0766858596611282,1,1,"ns","ns","ns"
"74","OTU_2072",0.0654181578681454,1,1,"ns","ns","ns"
"75","OTU_2077",0.0566612338479262,1,1,"ns","ns","ns"
"76","OTU_2088",0.024387191154728,1,1,"s","ns","ns"
"77","OTU_2101",0.543279124939827,0.221559099893259,0.347509690823646,"ns","ns","ns"
"78","OTU_2105",0.108061333672268,0.039719294743351,0.0583974147657697,"ns","s","ns"
"79","OTU_2107",0.125584275945036,1,1,"ns","ns","ns"
"80","OTU_2109",0.678592143000716,1,1,"ns","ns","ns"
"81","OTU_2112",0.915953636720592,0.00605017770536698,0.000101333458336517,"ns","s","s"
"82","OTU_2113",0.0136989975626913,1,1,"s","ns","ns"
"83","OTU_2118",0.103946422870704,1,1,"ns","ns","ns"
"84","OTU_2120",0.86447111114879,1,1,"ns","ns","ns"
"85","OTU_2121",0.483653667115621,0.108267587405705,0.158291089462967,"ns","ns","ns"
"86","OTU_2122",0.00469248844124537,1,1,"s","ns","ns"
"87","OTU_2127",0.00244155572925997,0.116767369925235,0.289457784682209,"s","ns","ns"
"88","OTU_2129",0.18631450030215,0.180935735257173,0.377150637720759,"ns","ns","ns"
"89","OTU_2131",0.618063804955448,0.110810868392098,0.0223075587591429,"ns","ns","s"
"90","OTU_2138",0.00133339321223325,0.444112674856755,0.654593462585192,"s","ns","ns"
"91","OTU_2140",0.395189484436706,1,1,"ns","ns","ns"
"92","OTU_2147",0.187979199805816,0.572588060718234,0.780457502018081,"ns","ns","ns"
"93","OTU_2152",0.0175542157140266,0.528027967927024,0.0548024518951419,"s","ns","ns"
"94","OTU_2154",0.038951429923944,1,1,"s","ns","ns"
"95","OTU_2160",0.270382058434757,0.274103418683337,0.480651321961721,"ns","ns","ns"
"96","OTU_2161",1,1,1,"ns","ns","ns"
"97","OTU_2163",0.15737877996069,0.266395124301832,0.00747181323946355,"ns","ns","s"
"98","OTU_2169",0.790863291110346,0.676058348358289,0.451318116804571,"ns","ns","ns"
"99","OTU_2171",0.668452648573611,0.999981056059829,0.999983084453777,"ns","ns","ns"
"100","OTU_2172",0.422993727271257,1,1,"ns","ns","ns"
"101","OTU_2179",0.0255871060353382,1,1,"s","ns","ns"
"102","OTU_2180",0.996668021603921,0.0446362188345316,0.0883642424996243,"ns","s","ns"
"103","OTU_2183",0.0281931987101962,1,1,"s","ns","ns"
"104","OTU_2192",1,0.420420063983308,1,"ns","ns","ns"
"105","OTU_2195",0.519056457658342,0.0606694167680215,0.0342624662948143,"ns","ns","s"
"106","OTU_2201",0.640624429491983,0.965143076068396,0.908375692089296,"ns","ns","ns"
"107","OTU_2202",0.0257983025735503,0.000316329932941506,0.0003148334841655,"s","s","s"
"108","OTU_2203",0.969833355880795,0.545132288227452,0.613851317541019,"ns","ns","ns"
"109","OTU_2213",0.641947009129106,0.171501906838358,0.947823620783719,"ns","ns","ns"
"110","OTU_2220",0.138532761632483,2.09765943670615e-06,2.55046897934541e-07,"ns","s","s"
"111","OTU_2227",0.159926693479331,0.00746171197800138,0.0051375895050203,"ns","s","s"
"112","OTU_2239",0.137079766614982,1,1,"ns","ns","ns"
"113","OTU_2240",0.463453629486286,1,0.999987446228007,"ns","ns","ns"
"114","OTU_2242",0.766700896642741,0.012179213848372,0.403651901589804,"ns","s","ns"
"115","OTU_2245",0.635741351230607,0.369150857097081,0.623449085606918,"ns","ns","ns"
"116","OTU_2248",0.867172292570602,0.0258737639033907,0.0341887184324413,"ns","s","s"
"117","OTU_2257",0.366840364402587,1,1,"ns","ns","ns"
"118","OTU_2270",0.442820778258538,0.0118482466045953,0.866968605968408,"ns","s","ns"
"119","OTU_2277",0.508769754254085,0.0171273677940136,0.0145571812305847,"ns","s","s"
"120","OTU_2285",0.48714043000148,0.0034029068761513,0.123786675325804,"ns","s","ns"
"121","OTU_2286",0.616156985210117,0.259587205427864,0.330082430689321,"ns","ns","ns"
"122","OTU_2301",0.0500541460145009,1,1,"ns","ns","ns"
"123","OTU_2326",0.397043958706577,0.999983820339331,1,"ns","ns","ns"
"124","OTU_2327",0.91778189781927,1,1,"ns","ns","ns"
"125","OTU_2342",0.228048677347468,0.000890391435944493,0.00354691700104981,"ns","s","s"
"126","OTU_2351",0.0129645565827101,0.0118280543240769,0.378469544515924,"s","s","ns"
"127","OTU_2361",0.973256330106064,0.803153588350745,0.912097770342758,"ns","ns","ns"
"128","OTU_2389",0.773753144054065,0.9999824987937,1,"ns","ns","ns"
"129","OTU_2449",0.00975342917938504,1,1,"s","ns","ns"
"130","OTU_2508",0.0360124806668581,1,1,"s","ns","ns"
"131","OTU_2525",0.16299593071614,1,1,"ns","ns","ns"
"132","OTU_2571",0.142012682151133,0.262899015626056,0.779401636935759,"ns","ns","ns"
"133","OTU_2573",0.0599066906113189,0.493476242246734,0.916874188908642,"ns","ns","ns"
"134","OTU_2577",0.0523897441733224,0.404092005206286,0.676888849841618,"ns","ns","ns"
"135","OTU_2597",0.227774358368272,0.999988207243014,0.999992563958001,"ns","ns","ns"
"136","OTU_2611",0.500556858216283,0.123942801263139,0.180459694412521,"ns","ns","ns"
"137","OTU_2632",0.0418777880170591,0.999997140208464,0.999997140208464,"s","ns","ns"
"138","OTU_2658",0.224691309599518,0.57576032519905,0.355367633282899,"ns","ns","ns"
"139","OTU_2735",0.17381852157465,1,1,"ns","ns","ns"
"140","OTU_2809",0.622180924092243,0.92814069252644,0.823928555205879,"ns","ns","ns"
"141","OTU_2837",0.570958969981267,0.00171989004748641,0.0151422424423528,"ns","s","s"
"142","OTU_2850",0.652692298829244,0.0476909688556996,0.0375857815522836,"ns","s","s"
"143","OTU_2856",0.779344929895123,0.0729572392836155,0.0643367752434277,"ns","ns","ns"
"144","OTU_2864",0.383324086704045,1,1,"ns","ns","ns"
"145","OTU_2867",0.31472466868603,0.0527960671626408,0.00215756181711402,"ns","ns","s"
"146","OTU_2871",0.141428672230335,0.000606532169972973,0.000257088785294957,"ns","s","s"
"147","OTU_2912",0.63833303669735,0.111012407487658,0.260418620078419,"ns","ns","ns"
"148","OTU_2929",0.633400918090023,0.000421222298749413,0.0107044109392856,"ns","s","s"
"149","OTU_2933",0.583926672081219,0.509799749627434,0.801165111626079,"ns","ns","ns"
"150","OTU_2935",0.168511532899781,0.259467906859029,0.496832564293656,"ns","ns","ns"
"151","OTU_2940",0.760631592822531,1,1,"ns","ns","ns"
"152","OTU_2961",0.919259587745813,1,1,"ns","ns","ns"
"153","OTU_2962",0.521448085448516,0.000432951741475285,0.0116242090505952,"ns","s","s"
"154","OTU_2972",0.0779113069219238,0.514883530092686,0.672808097779117,"ns","ns","ns"
"155","OTU_2982",0.197388117253819,0.164949944382668,0.261612834328495,"ns","ns","ns"
"156","OTU_2994",0.545310621326713,0.0938979452415416,0.400854501295641,"ns","ns","ns"
"157","OTU_3007",0.114261335467817,1,1,"ns","ns","ns"
"158","OTU_3009",0.976488237845517,1,1,"ns","ns","ns"
"159","OTU_3010",1,0.999997040707865,1,"ns","ns","ns"
"160","OTU_3015",0.0152102019140185,0.23090231301264,0.603418767939062,"s","ns","ns"
"161","OTU_3045",0.0691626917012748,1,1,"ns","ns","ns"
"162","OTU_3076",0.774871876127819,1,1,"ns","ns","ns"
"163","OTU_3123",0.420110275837332,1,1,"ns","ns","ns"
"164","OTU_3124",0.480591263149765,0.0230382698119141,0.403657872948432,"ns","s","ns"
"165","OTU_3128",0.0289128083373789,1,1,"s","ns","ns"
"166","OTU_3131",0.669034884214176,1,1,"ns","ns","ns"
"167","OTU_3132",0.2751227173904,1,1,"ns","ns","ns"
"168","OTU_3140",0.579228080180762,1,1,"ns","ns","ns"
"169","OTU_3148",0.0184239647029369,1,1,"s","ns","ns"
"170","OTU_3155",0.0322475682229826,1,1,"s","ns","ns"
"171","OTU_3158",0.11385740718736,1,1,"ns","ns","ns"
"172","OTU_3161",0.649338367735479,0.000441342361185093,0.000791500498733,"ns","s","s"
"173","OTU_3168",1.69529076443631e-07,1,1,"s","ns","ns"
"174","OTU_3193",0.997558542716832,0.0579565600759735,0.214441511105113,"ns","ns","ns"
"175","OTU_3208",0.00575361468838409,1,1,"s","ns","ns"
"176","OTU_3244",0.214184440884145,0.00241687176100491,0.105672373588809,"ns","s","ns"
"177","OTU_3247",0.119660142824193,1,1,"ns","ns","ns"
"178","OTU_3275",0.00114373824865521,0.999995897896316,0.999995897896316,"s","ns","ns"
"179","OTU_3276",0.0175278333298566,1,1,"s","ns","ns"
"180","OTU_3281",0.477664178321433,1,1,"ns","ns","ns"
"181","OTU_3283",0.643198141149116,1,1,"ns","ns","ns"
"182","OTU_3300",0.941550565140058,0.471872851892416,0.414005879984632,"ns","ns","ns"
"183","OTU_3388",0.449518294185113,1,1,"ns","ns","ns"
"184","OTU_3393",0.799917477014403,1,1,"ns","ns","ns"
"185","OTU_3409",0.267057354624328,1,1,"ns","ns","ns"
"186","OTU_3417",0.056778854451919,0.263939626920697,0.298131291529659,"ns","ns","ns"
"187","OTU_3418",0.306967716925237,1,1,"ns","ns","ns"
"188","OTU_3425",0.0310185601623135,0.196125258985626,0.260296485400363,"s","ns","ns"
"189","OTU_3427",0.111015286388642,1,1,"ns","ns","ns"
"190","OTU_3443",0.035709784852353,1,1,"s","ns","ns"
"191","OTU_3449",0.101892162004584,1,1,"ns","ns","ns"
"192","OTU_3459",0.0225644017134163,1,0.9999820285024,"s","ns","ns"
"193","OTU_3470",0.385765773431164,1,1,"ns","ns","ns"
