"","OTU","p_time","p_group","p_group_time","p_time","p_group","p_group_time"
"1","OTU_11",0.969043007393166,0.0296375439584084,0.163139667135145,"ns","s","ns"
"2","OTU_44",0.963046353462201,0.00360382930473758,0.00270139459827279,"ns","s","s"
"3","OTU_100",0.984231388163087,0.00334667793485464,0.00566248415538937,"ns","s","s"
"4","OTU_208",0.8700569069099,0.175125755987735,0.0459560553875592,"ns","ns","s"
"5","OTU_239",0.000189504474584096,0.857755276245146,0.217020968981142,"s","ns","ns"
"6","OTU_245",0.148370719522327,0.467655742934785,0.628771230544717,"ns","ns","ns"
"7","OTU_268",0.0650250389621351,0.55560582881779,0.536130795006807,"ns","ns","ns"
"8","OTU_451",NA,NA,NA,NA,NA,NA
"9","OTU_483",0.925718871655215,0.407850447025121,0.00178229556107136,"ns","ns","s"
"10","OTU_880",0.042167158243132,0.00011563652193197,0.584474351138881,"s","s","ns"
"11","OTU_924",0.0339488404119233,0.00098043716541586,0.570515785548031,"s","s","ns"
"12","OTU_966",0.00816199531233468,1.28789313958972e-10,0.0135066787543793,"s","s","s"
"13","OTU_1040",0.0589728356922979,0.000522846699036574,0.668477252762729,"ns","s","ns"
"14","OTU_1089",0.0612868080112004,0.0146868636593707,0.825142236844846,"ns","s","ns"
"15","OTU_1153",0.94478298136244,0.0407705290614005,0.477002160348027,"ns","s","ns"
"16","OTU_1176",0.910371768974439,0.262051061355754,0.815871044595631,"ns","ns","ns"
"17","OTU_1206",0.999975360632813,0.0384182723970954,0.0725892049868493,"ns","s","ns"
"18","OTU_1309",0.0819723720569391,0.181953921136681,0.703268648870568,"ns","ns","ns"
"19","OTU_1390",0.99927062539166,0.463831830384132,0.722336237894582,"ns","ns","ns"
"20","OTU_1393",0.769710313639107,0.00910717851095925,0.0666235784821323,"ns","s","ns"
"21","OTU_1398",0.774291704230786,0.611615349799756,0.270694380740853,"ns","ns","ns"
"22","OTU_1399",0.99929164763496,0.364385465748434,0.930011195364926,"ns","ns","ns"
"23","OTU_1427",0.646913270959802,0.255027495815533,0.843554266490161,"ns","ns","ns"
"24","OTU_1452",0.310555983415032,0.0787025386795468,0.186156815186911,"ns","ns","ns"
"25","OTU_1475",1.9170090426704e-06,0.582874000073051,0.122403042169096,"s","ns","ns"
"26","OTU_1483",0.206149297177337,0.076597636190244,0.681414705018813,"ns","ns","ns"
"27","OTU_1505",0.499753575016909,0.54505705903857,0.826024136353138,"ns","ns","ns"
