"","OTU","p_time","p_group","p_group_time","p_time","p_group","p_group_time"
"1","OTU_11",0.957912085067707,0.0343233092486093,0.189228516992339,"ns","s","ns"
"2","OTU_44",0.963579202217238,0.00232396971383305,0.00132884185768347,"ns","s","s"
"3","OTU_100",0.983471816377961,0.00226488004250096,0.00313721804143119,"ns","s","s"
"4","OTU_208",0.882445689182165,0.240593628113826,0.161677532216905,"ns","ns","ns"
"5","OTU_239",0.0002641969827679,0.859951546484903,0.23452147302397,"s","ns","ns"
"6","OTU_245",0.110188954593326,0.458190890599471,0.582690527692671,"ns","ns","ns"
"7","OTU_268",0.0763174578359519,0.553068108690542,0.565757773146459,"ns","ns","ns"
"8","OTU_451",NA,NA,NA,NA,NA,NA
"9","OTU_483",0.924945641526895,0.409708271885391,0.00222937069543815,"ns","ns","s"
"10","OTU_880",0.0222059782005948,2.05846609477177e-05,0.547167444307181,"s","s","ns"
"11","OTU_924",0.00533398667379316,0.000192425454742934,0.459372212493292,"s","s","ns"
"12","OTU_966",0.00511872157998943,3.46767733933633e-11,0.00819017607469071,"s","s","s"
"13","OTU_1040",0.0411310126158413,7.35113061433482e-05,0.642168129523848,"s","s","ns"
"14","OTU_1089",0.07997055196001,0.0240797624728498,0.840793154307536,"ns","s","ns"
"15","OTU_1153",0.957515362059345,0.0252197569668569,0.14326161877893,"ns","s","ns"
"16","OTU_1176",0.730959382052106,0.154640666399964,0.96323287331236,"ns","ns","ns"
"17","OTU_1206",0.999965365408042,0.0397478184912491,0.0753051843127821,"ns","s","ns"
"18","OTU_1309",0.0877501771585904,0.113140362752375,0.709681373592029,"ns","ns","ns"
"19","OTU_1390",0.999963687089381,0.617785676578184,0.653448455082019,"ns","ns","ns"
"20","OTU_1393",0.75998984521553,0.00778049650739304,0.0653057903459689,"ns","s","ns"
"21","OTU_1398",0.799094696617976,0.557365633274236,0.233934910931276,"ns","ns","ns"
"22","OTU_1399",0.999182261848948,0.343625817758234,0.903366322743827,"ns","ns","ns"
"23","OTU_1427",0.419922410173736,0.197127143671286,0.765361679920411,"ns","ns","ns"
"24","OTU_1452",0.365518773088365,0.0489533023979797,0.0896803144485579,"ns","s","ns"
"25","OTU_1475",7.43939248247655e-08,0.578545680682607,0.0725763727343463,"s","ns","ns"
"26","OTU_1483",0.161205723839794,0.0608833067058172,0.649034026624925,"ns","ns","ns"
"27","OTU_1505",0.288253565845996,0.599939742278278,0.72685471531412,"ns","ns","ns"
"28","OTU_1512",0.00500776770317153,0.768134879477816,0.294215249337221,"s","ns","ns"
"29","OTU_1516",0.45450574953374,0.463462234010645,0.861956229555843,"ns","ns","ns"
"30","OTU_1518",0.00222235383941266,0.589071269777826,0.207935362811003,"s","ns","ns"
"31","OTU_1519",0.836232817529781,0.381315570452632,0.947800663852925,"ns","ns","ns"
"32","OTU_1523",0.000154328983058935,0.109578727005952,0.360633699121548,"s","ns","ns"
"33","OTU_1527",9.69316345706569e-07,0.481964876311349,0.0218973328671671,"s","ns","s"
"34","OTU_1529",0.608120223386351,0.534132481850583,0.911776069787956,"ns","ns","ns"
"35","OTU_1530",0.000438636630506552,0.99715411095698,0.312669620513452,"s","ns","ns"
"36","OTU_1548",0.0149191614768253,0.158397711254001,0.45462859707106,"s","ns","ns"
"37","OTU_1558",0.0442271439294364,0.620935273539131,0.610617867505272,"s","ns","ns"
"38","OTU_1570",0.0571775466519691,0.122187029269008,0.770310495109681,"ns","ns","ns"
"39","OTU_1622",0.000802707118065689,0.958779480744084,0.357710780263145,"s","ns","ns"
"40","OTU_1626",0.0352751487952763,0.898213504040705,0.558874982076328,"s","ns","ns"
"41","OTU_1632",3.5417580777054e-05,0.0333719824273933,0.103231875491783,"s","s","ns"
"42","OTU_1678",0.00418031682095093,0.449531692702122,0.563644326468347,"s","ns","ns"
"43","OTU_1684",NA,NA,NA,NA,NA,NA
"44","OTU_1702",0.00243314865813966,0.705145373124603,0.305660862755531,"s","ns","ns"
"45","OTU_1705",0.291611645791647,0.534209933029294,0.801605343068466,"ns","ns","ns"
"46","OTU_1707",0.583574118328474,0.0598045352378952,0.888364476882237,"ns","ns","ns"
"47","OTU_1744",0.00193699323794316,0.676798975894585,0.277796562055409,"s","ns","ns"
"48","OTU_1747",0.0500231772676229,0.129174187837669,0.509027068746936,"ns","ns","ns"
"49","OTU_1753",0.0531861966202191,0.130445729103932,0.666248741770744,"ns","ns","ns"
"50","OTU_1760",0.479456840181729,0.482942688608917,0.840595383755582,"ns","ns","ns"
"51","OTU_1782",0.0276867547518561,0.350876696490377,0.559702679680977,"s","ns","ns"
"52","OTU_1797",0.403693187623485,0.32422441099999,0.962070668624779,"ns","ns","ns"
"53","OTU_1807",0.597171899813758,0.392169121046309,0.889306511089035,"ns","ns","ns"
"54","OTU_1824",0.00149028559856868,0.569572194384513,0.772294785632739,"s","ns","ns"
"55","OTU_1841",1.27407506803269e-07,0.425587634809257,0.103032472944004,"s","ns","ns"
"56","OTU_1856",0.741788669333403,0.503695247476998,0.938042719509507,"ns","ns","ns"
"57","OTU_1872",0.949590005919018,0.471695862239786,0.987468941026318,"ns","ns","ns"
"58","OTU_1875",0.970720095301513,0.298979961575321,0.883366230465457,"ns","ns","ns"
"59","OTU_1892",0.0343046776550106,0.0983555033337577,0.347849675101749,"s","ns","ns"
"60","OTU_1932",0.00888208333382552,0.728999350840916,0.43867927519898,"s","ns","ns"
"61","OTU_1938",0.00782671439929939,0.804266522376434,0.4302696426423,"s","ns","ns"
"62","OTU_1939",4.46205493264529e-06,0.688900705065096,0.167925182062549,"s","ns","ns"
"63","OTU_1945",0.771490508697834,0.483656385163166,0.919288266636943,"ns","ns","ns"
"64","OTU_1946",0.00109012798547751,0.355112129957158,0.52240036859015,"s","ns","ns"
"65","OTU_1947",0.00361672630175841,0.23648762076129,0.7089343986762,"s","ns","ns"
"66","OTU_1949",0.57089912004539,0.295450322999181,0.895534003954216,"ns","ns","ns"
"67","OTU_1953",0.518190559521552,0.115323368348935,0.955836609868887,"ns","ns","ns"
"68","OTU_1965",0.999899067738603,0.00397744371433488,2.84388894459915e-05,"ns","s","s"
"69","OTU_1974",0.114927551637602,0.0303590084724013,0.00247304206458279,"ns","s","s"
"70","OTU_1990",0.521181344070814,0.561824839118186,0.882257571369729,"ns","ns","ns"
"71","OTU_1995",0.929645813697317,0.519166920336785,0.985315879903012,"ns","ns","ns"
"72","OTU_2056",0.167889105066703,0.588046027895491,0.188737427468758,"ns","ns","ns"
"73","OTU_2059",0.00471842405867565,0.534762323704959,0.522411464245687,"s","ns","ns"
"74","OTU_2072",2.41534385646331e-09,0.0014781225128514,0.000118624740479958,"s","s","s"
"75","OTU_2077",6.02646031115572e-10,0.0013264944431091,6.47550961339878e-05,"s","s","s"
"76","OTU_2088",0.000406255052558939,0.705915592020303,0.364332591927622,"s","ns","ns"
"77","OTU_2101",0.187404007668996,0.243522772138217,0.69147608207091,"ns","ns","ns"
"78","OTU_2105",0.0105478974314621,0.105457214042929,0.26616081462779,"s","ns","ns"
"79","OTU_2107",1.9794953949101e-06,0.626387955084414,0.166024124996849,"s","ns","ns"
"80","OTU_2109",0.215380202894955,0.529682036887693,0.785774317359602,"ns","ns","ns"
"81","OTU_2112",0.828522649297963,0.002281198478628,2.50909761127701e-07,"ns","s","s"
"82","OTU_2113",1.38675982500518e-10,0.0101733226811472,0.000360417297239104,"s","s","s"
"83","OTU_2118",0.00149204488856934,0.676305381074014,0.423698841844561,"s","ns","ns"
"84","OTU_2120",0.617730425424853,0.231709083566405,0.836913668931791,"ns","ns","ns"
"85","OTU_2121",0.449964279947245,0.267917988343266,0.983214232566038,"ns","ns","ns"
"86","OTU_2122",4.83482169549589e-08,0.0595554998375768,0.00807606401405216,"s","ns","s"
"87","OTU_2127",0.0433509432764338,0.85596315887694,0.70692263626166,"s","ns","ns"
"88","OTU_2129",0.0215764636179691,0.733344284160897,0.800845425616901,"s","ns","ns"
"89","OTU_2131",0.0690716446835536,0.64871484415508,0.740043731625284,"ns","ns","ns"
"90","OTU_2138",0.000142256381411679,0.866913346635244,0.265644724805428,"s","ns","ns"
"91","OTU_2140",0.0243186673354602,0.199698822148267,0.323642628141819,"s","ns","ns"
"92","OTU_2147",0.000895348953628323,0.762052061452502,0.158376103451202,"s","ns","ns"
"93","OTU_2152",0.000129396391890128,0.556624869616421,0.215396228720398,"s","ns","ns"
"94","OTU_2154",0.0231984237165388,0.406898676576099,0.612319123825553,"s","ns","ns"
"95","OTU_2160",0.110313521584653,0.4063763230772,0.696977565797227,"ns","ns","ns"
"96","OTU_2161",0.963190818538925,0.331163559428412,0.196818975556172,"ns","ns","ns"
"97","OTU_2163",0.351974369052294,0.280887543183157,0.00599973351893601,"ns","ns","s"
"98","OTU_2169",0.989904857245244,0.00522194487229683,0.016733406199486,"ns","s","s"
"99","OTU_2171",0.0631865920818519,0.923512684110076,0.657162859462728,"ns","ns","ns"
"100","OTU_2172",0.442062362484617,0.252647327036968,0.863149644475981,"ns","ns","ns"
"101","OTU_2179",0.000232591726114921,0.328082213085631,0.396830216193685,"s","ns","ns"
"102","OTU_2180",0.945855395091889,0.100009716986216,0.00848198976478642,"ns","ns","s"
"103","OTU_2183",7.67631479858233e-07,0.591611350090216,0.161234364120966,"s","ns","ns"
"104","OTU_2192",0.448584346994217,0.37914263008479,0.80225478811781,"ns","ns","ns"
"105","OTU_2195",0.80511982983492,0.0595713379125087,0.00965114861377213,"ns","ns","s"
"106","OTU_2201",0.844495682110474,0.0276566106372682,0.00596419503389136,"ns","s","s"
"107","OTU_2202",0.0361739128127469,0.00975700865645492,0.00151454638791846,"s","s","s"
"108","OTU_2203",0.988322044339814,0.0126536968248127,0.00174694083610243,"ns","s","s"
"109","OTU_2213",0.349001918714724,0.180098881577421,0.70766972841239,"ns","ns","ns"
"110","OTU_2220",0.0906843812430637,0.0254135005893406,0.0104821862306505,"ns","s","s"
"111","OTU_2227",0.0861062688057268,0.0878289484094784,0.0109743165221716,"ns","ns","s"
"112","OTU_2239",0.00587401771155244,0.400271368727223,0.542368227968329,"s","ns","ns"
"113","OTU_2240",0.731780200648677,0.350964578916394,0.976954484166632,"ns","ns","ns"
"114","OTU_2242",0.731722895471631,0.0511291302724432,0.930080879193755,"ns","ns","ns"
"115","OTU_2245",0.434566323541587,0.103314235260197,0.973028143005242,"ns","ns","ns"
"116","OTU_2248",0.968570385567987,0.178952223198027,0.136192886622527,"ns","ns","ns"
"117","OTU_2257",0.00349480548862331,0.0662261161594029,0.0892600665924706,"s","ns","ns"
"118","OTU_2270",0.100449951409034,0.345625896632323,0.404746046940444,"ns","ns","ns"
