"","OTU","p_time","p_group","p_group_time","p_time","p_group","p_group_time"
"1","OTU_11",0.528634552411619,0.986657984640687,0.578563888703941,"ns","ns","ns"
"2","OTU_44",0.79307672063148,0.000375200024487675,0.00119611299726389,"ns","s","s"
"3","OTU_100",0.64949100978193,8.04427321667809e-06,3.02068475213738e-06,"ns","s","s"
"4","OTU_208",0.542127388799524,0.000521454639675117,7.75161078026938e-09,"ns","s","s"
"5","OTU_239",3.63281635520108e-06,0.999994135560314,0.999992968614709,"s","ns","ns"
"6","OTU_245",0.662187046991084,0.999994597851134,0.999993881966735,"ns","ns","ns"
"7","OTU_268",0.220511361667757,0.999994367650064,0.999993243053691,"ns","ns","ns"
"8","OTU_451",NA,NA,NA,NA,NA,NA
"9","OTU_483",0.754345286901765,0.350167239729798,1.45025229181953e-05,"ns","ns","s"
"10","OTU_880",0.00125832290935122,0.999995867663122,0.999994143350754,"s","ns","ns"
"11","OTU_924",0.0203638561060326,0.999995885193148,0.999994380894308,"s","ns","ns"
"12","OTU_966",0.76333961036649,1.18018853298263e-07,2.66318447364985e-05,"ns","s","s"
"13","OTU_1040",0.727429607712203,0.000286204452458539,0.610138144897569,"ns","s","ns"
"14","OTU_1089",0.0506242485897686,1.41706946459851e-05,8.40576772034976e-07,"ns","s","s"
"15","OTU_1153",0.634625109062339,0.854513453722288,0.0997263234938521,"ns","ns","ns"
"16","OTU_1176",0.455806999310286,0.00142307203303915,0.00431362936777387,"ns","s","s"
"17","OTU_1206",NA,NA,NA,NA,NA,NA
"18","OTU_1309",0.0185738120199372,0.999997815408693,0.999999999556296,"s","ns","ns"
"19","OTU_1390",0.643271849221824,0.12925293181597,5.44057233760855e-05,"ns","ns","s"
"20","OTU_1393",0.001261105138989,0.00039070681814648,0.121859948611033,"s","s","ns"
"21","OTU_1398",0.639446841591104,0.530613687717104,0.191294788409885,"ns","ns","ns"
"22","OTU_1399",0.502217439576595,0.00256754267759423,0.118361289661805,"ns","s","ns"
"23","OTU_1427",0.515250095562644,0.999992859582374,0.999993036869184,"ns","ns","ns"
"24","OTU_1452",0.563455183423908,1.47066855644633e-06,2.20485332526296e-12,"ns","s","s"
"25","OTU_1475",7.94214728347381e-07,0.999994334119947,0.999993176151032,"s","ns","ns"
"26","OTU_1483",0.150474763296158,0.99999332467819,0.999992199823841,"ns","ns","ns"
"27","OTU_1505",0.00185354172902367,0.999997105025188,0.999999922147101,"s","ns","ns"
"28","OTU_1512",0.897399053225889,0.999993821971124,0.999992667038427,"ns","ns","ns"
"29","OTU_1516",0.367862717621444,0.999997877059334,0.99999999707406,"ns","ns","ns"
"30","OTU_1518",4.78985118303094e-11,0.999991461092763,0.999990115828734,"s","ns","ns"
"31","OTU_1519",0.0285791721325737,0.99999371154576,0.999992267654184,"s","ns","ns"
"32","OTU_1523",1.08357195093764e-05,0.999997695329014,0.999999943994913,"s","ns","ns"
"33","OTU_1527",4.82592398704888e-18,0.999991338325888,0.999990488301879,"s","ns","ns"
"34","OTU_1529",0.268225948860007,0.99999786853745,0.999999975252208,"ns","ns","ns"
"35","OTU_1530",2.65861855150108e-05,0.999998000668698,0.999999962658793,"s","ns","ns"
"36","OTU_1548",0.0797692007604996,2.10773309198326e-06,5.36032821803159e-06,"ns","s","s"
"37","OTU_1558",0.0718603893410277,0.999993517181262,0.999993690316194,"ns","ns","ns"
"38","OTU_1570",0.389302585424633,1.87531664410186e-07,1.80010835174886e-13,"ns","s","s"
"39","OTU_1622",0.00431495195695824,8.70640663118683e-08,2.21526330303028e-11,"s","s","s"
"40","OTU_1626",1.22915766475977e-09,0.999997581892698,0.999999932966052,"s","ns","ns"
"41","OTU_1632",2.79515214216847e-09,0.999995904393569,0.999999837784324,"s","ns","ns"
"42","OTU_1678",1.22236608391284e-06,0.790974002023547,0.436031905118405,"s","ns","ns"
"43","OTU_1684",NA,NA,NA,NA,NA,NA
"44","OTU_1702",0.232307706404317,0.999992378386796,0.999990828990218,"ns","ns","ns"
"45","OTU_1705",0.987623384993174,0.999998091750379,0.999999988756207,"ns","ns","ns"
"46","OTU_1707",0.473977609593131,0.999994714751216,0.999993795169364,"ns","ns","ns"
"47","OTU_1744",2.57558672583389e-06,0.999993018472943,0.999992032181586,"s","ns","ns"
