"","OTU","p_time","p_group","p_group_time","p_time","p_group","p_group_time"
"1","OTU_11",0.531757668448008,0.986853991435929,0.571805534522977,"ns","ns","ns"
"2","OTU_44",0.786270242956113,0.000382816846396823,0.00122752286065797,"ns","s","s"
"3","OTU_100",0.792755254032112,2.06564002230823e-05,8.18106242877169e-06,"ns","s","s"
"4","OTU_208",0.609290690524912,0.00169189578327325,7.43924304003087e-07,"ns","s","s"
"5","OTU_239",NA,NA,NA,NA,NA,NA
"6","OTU_245",NA,NA,NA,NA,NA,NA
"7","OTU_268",NA,NA,NA,NA,NA,NA
"8","OTU_451",NA,NA,NA,NA,NA,NA
"9","OTU_483",0.720548543967593,0.532783058575018,2.5645429100856e-05,"ns","ns","s"
"10","OTU_880",NA,NA,NA,NA,NA,NA
"11","OTU_924",NA,NA,NA,NA,NA,NA
"12","OTU_966",0.67467454580718,6.24798802404624e-11,1.70596853701717e-12,"ns","s","s"
"13","OTU_1040",0.668647590409443,0.000125282068183367,0.546734804338966,"ns","s","ns"
"14","OTU_1089",0.053343952256942,1.97920485242409e-05,3.41921676049812e-06,"ns","s","s"
"15","OTU_1153",0.650831771971422,0.93958154302461,0.0785144333371896,"ns","ns","ns"
"16","OTU_1176",0.183717915772504,0.00068879623410715,0.00151279919993655,"ns","s","s"
"17","OTU_1206",NA,NA,NA,NA,NA,NA
"18","OTU_1309",0.0159596180532044,0.999997378503812,0.999999998518647,"s","ns","ns"
"19","OTU_1390",0.776674526450462,0.13808793230383,0.00052622072919674,"ns","ns","s"
"20","OTU_1393",0.00170063135939581,0.00382235034285327,0.532546244212501,"s","s","ns"
"21","OTU_1398",0.632037216988831,0.549728629657109,0.203122561360327,"ns","ns","ns"
"22","OTU_1399",0.44448761258805,0.00234563732965248,0.110601581517064,"ns","s","ns"
"23","OTU_1427",NA,NA,NA,NA,NA,NA
"24","OTU_1452",0.918910285926193,2.47757805175513e-06,1.15398104339499e-12,"ns","s","s"
"25","OTU_1475",NA,NA,NA,NA,NA,NA
"26","OTU_1483",NA,NA,NA,NA,NA,NA
"27","OTU_1505",0.00161249702720767,0.999996725629937,0.999999918329876,"s","ns","ns"
"28","OTU_1512",0.778472663781928,0.278655911586671,0.267257995172876,"ns","ns","ns"
"29","OTU_1516",0.298384930176928,0.999997550265475,0.999999996770639,"ns","ns","ns"
"30","OTU_1518",3.25871255054122e-11,0.690213542891158,0.686501545902572,"s","ns","ns"
"31","OTU_1519",NA,NA,NA,NA,NA,NA
"32","OTU_1523",9.22868258991022e-06,0.999997671489397,0.999999943541822,"s","ns","ns"
"33","OTU_1527",4.02236633462218e-18,2.64097049428518e-05,1.73561661219592e-15,"s","s","s"
"34","OTU_1529",0.212279992584219,0.999997711675,0.999999972979576,"ns","ns","ns"
"35","OTU_1530",5.36398844527043e-06,0.999997876080297,0.999999958078801,"s","ns","ns"
"36","OTU_1548",0.0574559425659122,1.37394665195741e-06,6.95039612061704e-07,"ns","s","s"
"37","OTU_1558",NA,NA,NA,NA,NA,NA
"38","OTU_1570",0.280685959709329,9.5423097346973e-08,4.92642176912284e-16,"ns","s","s"
"39","OTU_1622",0.00375070715282487,7.48103521274096e-08,1.17855339911686e-11,"s","s","s"
"40","OTU_1626",9.17407470488968e-10,0.999997548317129,0.999999932156303,"s","ns","ns"
"41","OTU_1632",5.57602096586733e-10,0.999995494470076,0.999999826349257,"s","ns","ns"
"42","OTU_1678",8.29128652725844e-06,0.828052629600128,0.477312961289568,"s","ns","ns"
"43","OTU_1684",NA,NA,NA,NA,NA,NA
"44","OTU_1702",NA,NA,NA,NA,NA,NA
"45","OTU_1705",0.260135068767806,0.999997478701843,0.999999995573017,"ns","ns","ns"
"46","OTU_1707",0.539214280557525,0.704301260143417,0.700786961965889,"ns","ns","ns"
"47","OTU_1744",NA,NA,NA,NA,NA,NA
"48","OTU_1747",0.0236742664534418,3.95588810943159e-05,0.00174363594190822,"s","s","s"
"49","OTU_1753",0.251665246129131,0.999997920318668,0.999999978810645,"ns","ns","ns"
"50","OTU_1760",7.10943941104747e-05,0.999997591273989,0.999999951466327,"s","ns","ns"
"51","OTU_1782",0.243485220469016,0.521745154067559,0.557792483578519,"ns","ns","ns"
"52","OTU_1797",0.493557396615272,1.63022338076244e-07,1.45351430306862e-09,"ns","s","s"
"53","OTU_1807",0.633363143767908,0.231141342305618,0.218797743479952,"ns","ns","ns"
"54","OTU_1824",8.77070334772316e-06,4.22174359101937e-06,6.93550873146752e-07,"s","s","s"
"55","OTU_1841",4.59355811361259e-12,0.999997896981707,0.999999903122863,"s","ns","ns"
"56","OTU_1856",0.00132583966001528,1.79882570571834e-05,0.00159235224735916,"s","s","s"
"57","OTU_1872",0.0468039035609295,0.999997957777934,0.999999991977886,"s","ns","ns"
"58","OTU_1875",0.0101278208854105,5.5565527884166e-07,5.50590589577276e-11,"s","s","s"
"59","OTU_1892",0.341939492709997,3.81613901099625e-05,0.00137838187835611,"ns","s","s"
"60","OTU_1932",NA,NA,NA,NA,NA,NA
"61","OTU_1938",NA,NA,NA,NA,NA,NA
"62","OTU_1939",0.000252572921677824,8.02232496983524e-05,0.00130130346956465,"s","s","s"
"63","OTU_1945",2.94319993109699e-06,0.999995070078089,0.99999995565757,"s","ns","ns"
"64","OTU_1946",0.0102295131207839,4.8619975918382e-07,1.67650246610089e-09,"s","s","s"
"65","OTU_1947",0.0164967088759143,7.55855474983826e-08,2.09743831735285e-11,"s","s","s"
"66","OTU_1949",0.937862505455384,0.999997213255509,0.99999998460865,"ns","ns","ns"
"67","OTU_1953",0.408963610055808,1.32139662215409e-09,7.82925174323673e-15,"ns","s","s"
"68","OTU_1965",0.999999993313084,0.999993336702172,0.999995929421824,"ns","ns","ns"
"69","OTU_1974",6.9023118170362e-08,1.35621839963143e-06,2.00992001913609e-25,"s","s","s"
"70","OTU_1990",0.000762104798046017,0.999998037596866,0.999999973479425,"s","ns","ns"
"71","OTU_1995",0.912298000074459,0.999997589801367,0.99999998480333,"ns","ns","ns"
"72","OTU_2056",0.00853448458739539,3.4327299614002e-06,1.77751072319798e-14,"s","s","s"
"73","OTU_2059",9.36509619726635e-07,0.999997389844446,0.999999969289783,"s","ns","ns"
"74","OTU_2072",1.66019288801395e-29,0.999991416857807,0.999999471346682,"s","ns","ns"
"75","OTU_2077",2.78936652242426e-29,0.999992067518645,0.999999540265351,"s","ns","ns"
"76","OTU_2088",NA,NA,NA,NA,NA,NA
"77","OTU_2101",0.144842385472598,8.8638398861905e-06,6.82499805496652e-05,"ns","s","s"
"78","OTU_2105",0.031203094423417,4.95125631295964e-07,3.80652707054066e-12,"s","s","s"
"79","OTU_2107",4.22075806296348e-16,0.999996914070337,0.999999853591503,"s","ns","ns"
"80","OTU_2109",0.00342727606289309,0.999997351433632,0.99999998221876,"s","ns","ns"
"81","OTU_2112",NA,NA,NA,NA,NA,NA
"82","OTU_2113",4.49811403305251e-34,0.999992628857614,0.999999625549481,"s","ns","ns"
"83","OTU_2118",3.19004752335447e-08,0.999997508500599,0.999999954736531,"s","ns","ns"
"84","OTU_2120",0.0500443036508946,0.756174374025803,0.753355893760189,"ns","ns","ns"
"85","OTU_2121",0.00198198655563471,5.17508831202727e-05,0.000143365841469171,"s","s","s"
"86","OTU_2122",9.22568147106521e-30,0.99999451792767,0.99999965455783,"s","ns","ns"
"87","OTU_2127",0.00171363050321993,0.000161230396036042,0.0132550211987911,"s","s","s"
"88","OTU_2129",0.000116441090687324,0.00164976679551082,1.422373249738e-05,"s","s","s"
"89","OTU_2131",0.00064020805491924,3.92658578130445e-05,1.76336025749796e-07,"s","s","s"
"90","OTU_2138",0.000325519376522153,0.00155610959302887,0.41774554940692,"s","s","ns"
"91","OTU_2140",1.40890520727517e-17,0.275873901203692,0.264418741259697,"s","ns","ns"
"92","OTU_2147",0.0983713468158211,0.00169948990472843,0.685510194634213,"ns","s","ns"
"93","OTU_2152",5.91158527070437e-05,0.057182693925892,0.0328679166778885,"s","ns","s"
"94","OTU_2154",0.00123309780673165,0.999997874604129,0.999999987648408,"s","ns","ns"
"95","OTU_2160",0.016395207099458,3.44132926403716e-06,8.371803671023e-05,"s","s","s"
"96","OTU_2161",NA,NA,NA,NA,NA,NA
"97","OTU_2163",0.000175647982053258,0.000261680601891617,7.02238561852423e-11,"s","s","s"
"98","OTU_2169",0.663333952495511,0.0665541052539623,0.963395287033586,"ns","ns","ns"
"99","OTU_2171",NA,NA,NA,NA,NA,NA
"100","OTU_2172",0.199922554213103,0.999997699725635,0.999999995384736,"ns","ns","ns"
"101","OTU_2179",5.68820844387039e-05,0.999998006703388,0.999999984651501,"s","ns","ns"
"102","OTU_2180",0.694981286209868,1.64080225685374e-05,4.44163596996967e-09,"ns","s","s"
"103","OTU_2183",1.7181413517686e-15,0.999997436973848,0.999999866929387,"s","ns","ns"
"104","OTU_2192",0.986615633574101,0.00139010980825677,0.60821281307586,"ns","s","ns"
"105","OTU_2195",0.130136770756842,1.67328580735203e-06,2.46133870122993e-10,"ns","s","s"
"106","OTU_2201",0.00217930908004371,2.16756817237671e-05,4.53934381238852e-17,"s","s","s"
"107","OTU_2202",0.679829162938463,4.6563503462319e-07,4.38820564009749e-11,"ns","s","s"
"108","OTU_2203",0.387099836668209,9.41668014128838e-07,4.87325315713503e-21,"ns","s","s"
"109","OTU_2213",0.533737722090712,5.50518396680863e-05,0.204624147231256,"ns","s","ns"
"110","OTU_2220",0.205437087727252,2.5654878729515e-06,1.08202365487426e-12,"ns","s","s"
"111","OTU_2227",0.208875263035059,3.59624774892791e-07,3.43316570396975e-12,"ns","s","s"
"112","OTU_2239",0.000163869496613422,0.999997136400196,0.999999991905163,"s","ns","ns"
"113","OTU_2240",NA,NA,NA,NA,NA,NA
"114","OTU_2242",0.90035858644833,5.7279593545444e-06,0.000112540692561344,"ns","s","s"
"115","OTU_2245",0.112429385597106,2.37357358670683e-06,8.28780179875222e-06,"ns","s","s"
"116","OTU_2248",0.120730333272957,0.000169357700647024,2.75295515817344e-07,"ns","s","s"
"117","OTU_2257",1.5315861195436e-17,0.999995402847974,0.999999662012256,"s","ns","ns"
"118","OTU_2270",0.391094124719128,2.04437154853989e-06,0.0146226779131245,"ns","s","s"
"119","OTU_2277",0.664053895501118,1.00346656579328e-07,7.53729263737192e-11,"ns","s","s"
"120","OTU_2285",0.128500266697692,1.93673633744709e-06,1.11797685188858e-05,"ns","s","s"
"121","OTU_2286",0.000806211055537023,8.42831429430777e-07,1.12011852982055e-07,"s","s","s"
"122","OTU_2301",1.66649538457837e-07,0.999997980400768,0.999999958941254,"s","ns","ns"
"123","OTU_2326",NA,NA,NA,NA,NA,NA
"124","OTU_2327",NA,NA,NA,NA,NA,NA
"125","OTU_2342",0.0472776389432502,2.53842732672785e-05,0.0025894829502168,"s","s","s"
"126","OTU_2351",0.00475714383138405,1.4717941482187e-07,1.23446561667947e-07,"s","s","s"
"127","OTU_2361",0.273192371823133,2.25111288730755e-07,7.02947283220598e-12,"ns","s","s"
"128","OTU_2389",NA,NA,NA,NA,NA,NA
"129","OTU_2449",NA,NA,NA,NA,NA,NA
"130","OTU_2508",1.45813180847671e-05,0.999997566896487,0.999999982079635,"s","ns","ns"
"131","OTU_2525",3.14739975846742e-09,0.999997523357634,0.999999943427922,"s","ns","ns"
"132","OTU_2571",NA,NA,NA,NA,NA,NA
